display_order,case_id,conversation_id,tweet_id,created_at,message,prior_context,intent_label,secondary_intent,handling_label,reason_code,risk_tags,must_include,must_avoid,annotator_id,annotation_notes
46,tesco-2935496,2935499,2935496,Wed Nov 29 19:14:03 +0000 2017,@Tesco Dawn from Tesco I don't know what dm is???,"[Customer] @Tesco you have provided worst customer service ever. Delivery is 24hrs late and still no one knows if and when is coming. Shame on you. || [Customer] @Tesco I'd have been surprised if you responded. Why change now eh || [Tesco] @customer Hello, Duncan! I'm so sorry to hear that your delivery is late. I can imagine how disappointing this has been for you, especially if you have heard nothing from us :( Please DM me your order number, full name and address :)",,,,,,,,,
47,tesco-2844532,2844533,2844532,Mon Nov 27 17:37:13 +0000 2017,@Tesco *cant,"[Customer] @Tesco hi, an item was missing from my click and collect order. Is there anyone I can email about it? I deal with people on the phone today, I am poorly 🤒",,,,,,,,,
48,tesco-1053285,1053285,1053285,Sat Mar 25 18:03:14 +0000 2017,"@Tesco please can you enforce the one-way areas of your car park before there is a collision or if not,just scrap them and make them two way",,,,,,,,,,
49,tesco-477163,477163,477163,Fri Dec 01 10:37:58 +0000 2017,@Tesco why do you allow customers to get pestered in your stores? I want to go food shopping not paintballing or the gym.,,,,,,,,,,
50,tesco-577442,577444,577442,Sat Dec 02 22:44:54 +0000 2017,"@customer Clubcard app already is, would make sense for it to be.",[Customer] @Tesco will TescoPay+ be available for Apple Wallet? || [Customer] @customer Hi Sam. This is not something we are currently looking into but thank you for your feedback. Thanks,,,,,,,,,
51,tesco-2831178,2831178,2831178,Mon Nov 27 08:41:02 +0000 2017,The 2017 post-excavation course begins today and we’ve already had our first major setback. @Tesco are out of Jaffa Cakes. 😱,,,,,,,,,,
52,tesco-475220,475220,475220,Wed Nov 29 21:15:15 +0000 2017,I got the recipe for these biscuits from last years @Tesco Christmas magazine and it is honestly one of the best biscuit recipes I have ever tried; they come out perfect every time and hold their shape so beautifully too. Give them a try: <media_or_link> <media_or_link>,,,,,,,,,,
53,tesco-2967145,2967145,2967145,Wed Nov 29 21:30:31 +0000 2017,"Bought some sour cream in @Tesco a couple of days ago, in date till 12th Dec. Just opened it and it was lumpy 😷😷 absolutely vile",,,,,,,,,,
54,tesco-508905,508905,508905,Fri Dec 01 18:38:53 +0000 2017,@Tesco why are thete no delivery dates for 19th of dec onwards? Are the filled already?! 🤬,,,,,,,,,,
55,tesco-89598,89600,89598,Thu Nov 30 11:07:01 +0000 2017,"My parcels missing, I’m wondering why I bothered to stay in at all The morning came and went, and I didn’t see @customer at all And even if they turned up now, there’s no one in the house It reminds me, to do @Tesco click and collect, to click and collect my order next time","[Customer] Dear @customer, I messaged you, but you still ain't replyin' I left my name, a screenshot and my parcel number at the bottom I sent these messages last night, you must not've got 'em There was probably a problem at the Dunstable depot or somethin? || [Customer] @customer Sometimes I miss parcels and messages too.. when I get 'em But anyways, forget it, what's been up man? How’s my parcel?",,,,,,,,,
56,tesco-454997,454997,454997,Sun Nov 12 23:25:35 +0000 2017,"@Tesco can Hi— Shepherd’s Bush Tesco Express that states it’s open Monday to Sunday 7am- midnight has been shut since 11, why? 😭",,,,,,,,,,
57,tesco-2963385,2963385,2963385,Wed Nov 29 21:06:42 +0000 2017,Would like to personally like to congratulate @Tesco for creating luxury wrapping paper that refuses to accept the properties of cellotape 👌,,,,,,,,,,
58,tesco-139128,139128,139128,Fri Nov 24 10:55:00 +0000 2017,@Tesco tell me you haven’t stopped producing this. No tesco in my vicinity has it anymore. <media_or_link>,,,,,,,,,,
59,tesco-2908618,2908618,2908618,Tue Nov 28 17:12:39 +0000 2017,@Tesco I’m quite annoyed that online is advertising FIFA 18 for £36. But having gone to the store to buy a copy only to be charged £49.99 😡 <media_or_link>,,,,,,,,,,
60,tesco-552753,552753,552753,Sat Dec 02 16:21:50 +0000 2017,@Tesco wyd😭😭 <media_or_link>,,,,,,,,,,
