display_order,case_id,sample_slice,conversation_id,tweet_id,created_at,message,prior_context,challenge_flags,intent_label,secondary_intent,handling_label,reason_code,risk_tags,must_include,must_avoid,annotator_id,annotation_notes
11,tesco-552728,natural,552729,552728,Sat Dec 02 18:13:36 +0000 2017,@Tesco .... still nothing!! Great start to Christmas @Tesco,[Customer] @Tesco so angry! Paid for express delivery before 2. Christmas tree. Not turned up! No one can do anything till monday!! Waste of space!!! Disappointed mommy and kids!!!!,account_or_order;repeated_failure;strong_distress,,,,,,,,,
12,tesco-479890,natural,479890,479890,Fri Dec 01 11:40:54 +0000 2017,"@Tesco Hello..quick note to say how constantly impressed we are with the store in Sandy, Beds.. Really good store and the staff are so helpful and friendly. A job well done!",,,,,,,,,,,
13,tesco-89598,natural,89600,89598,Thu Nov 30 11:07:01 +0000 2017,"My parcels missing, I’m wondering why I bothered to stay in at all The morning came and went, and I didn’t see @customer at all And even if they turned up now, there’s no one in the house It reminds me, to do @Tesco click and collect, to click and collect my order next time","[Customer] Dear @customer, I messaged you, but you still ain't replyin' I left my name, a screenshot and my parcel number at the bottom I sent these messages last night, you must not've got 'em There was probably a problem at the Dunstable depot or somethin? || [Customer] @customer Sometimes I miss parcels and messages too.. when I get 'em But anyways, forget it, what's been up man? How’s my parcel?",account_or_order;repeated_failure,,,,,,,,,
14,tesco-2820812,natural,2820812,2820812,Sun Nov 26 16:50:34 +0000 2017,@Tesco my Dad had an email from __email__ about a clubcard voucher that’s about the expire. I’ve checked his account and he doesn’t. Is this email real or a scam?,,account_or_order;money,,,,,,,,,
15,tesco-64413,challenge,64421,64413,Thu Nov 30 12:53:37 +0000 2017,"@Tesco No, I dont have the receipt. Bit would have used my Clubcard, can I DM you to look into for me please?","[Customer] Hi can anyone tell me if this is wear and tear just @Tesco says it but in 3 weeks boots should never go like that in 3 week so everyone stay away from Tesco F&amp;F stuff for kids <media_or_link> || [Customer] @customer @Tesco My son's school shoes, new in September! <media_or_link> || [Tesco] @customer Hi <name_redacted>, I would have expected your son's shoe to last longer than this. Have you been in contact with one of our stores to let them know about this? Thanks",account_or_order;context_dependent,,,,,,,,,
16,tesco-2899807,natural,2899807,2899807,Tue Nov 28 17:18:58 +0000 2017,@Tesco #tesco Thanks for the cat treats <media_or_link>,,image_or_link_dependent,,,,,,,,,
17,tesco-562470,natural,562470,562470,Sat Dec 02 16:37:49 +0000 2017,Tesco delivery vehicle both parked blocking road and parked across pavement driver abusive when challenged @Tesco please retrain and have a word with driver about his attitude <media_or_link>,,account_or_order;image_or_link_dependent,,,,,,,,,
18,tesco-599505,natural,599505,599505,Sun Dec 03 12:33:42 +0000 2017,Having to go and brave the crowds and have dinner out cause @Tesco failed to deliver half my order and can't bring it til 7pm 🤤😓,,,,,,,,,,,
19,tesco-2890034,challenge,2890036,2890034,Tue Nov 28 14:16:33 +0000 2017,@Tesco And after a 30 min wait now tell me they don’t have it 😡,"[Customer] @Tesco go to buy switch game that is advertised ‘we don’t display them, what game is it I will look in back’ comes out ‘I need keys’ disappeared again for 20mins still not back .. not good enough",repeated_failure,,,,,,,,,
20,tesco-576221,natural,576221,576221,Sat Dec 02 22:03:33 +0000 2017,"If Aldi can do this on Xmas eve, there's no reason why all supermarkets can't give their surplus to the homeless at any time. Come on supermarkets, start doing it @Tesco @sainsburys @customer @customer - who's gonna go first? #TOOMUCHWASTE <media_or_link>",,image_or_link_dependent,,,,,,,,,
21,tesco-2848270,natural,2848270,2848270,Mon Nov 27 16:09:58 +0000 2017,"Hi @Tesco, 🙋🏾‍♂️ why the 50% increase? Thank you in advance for your clear and honest explanation. Xx <media_or_link>",,image_or_link_dependent,,,,,,,,,
22,tesco-2892572,challenge,2892572,2892572,Tue Nov 28 15:01:59 +0000 2017,Thanks to @Tesco leaving plastic on the floor my already injured ankle is now even more painful due to my crutches slipping on their rubbish! 😫😡 #TescoComplaint,,injury_or_allergy,,,,,,,,,
23,tesco-2964734,challenge,2964734,2964734,Wed Nov 29 20:11:52 +0000 2017,@Tesco great job on policing your double yellow lines outside your Wishaw Store No badge or driver. Aw some! <media_or_link>,,image_or_link_dependent,,,,,,,,,
24,tesco-74931,natural,74931,74931,Wed Nov 29 10:22:12 +0000 2017,"@Tesco Trying to order 2x Echo Dot on the website. Price says £34, but when I add to my basket, price goes up to £49. What gives?? <media_or_link>",,image_or_link_dependent;money,,,,,,,,,
25,tesco-2935489,natural,2935489,2935489,Wed Nov 29 08:36:26 +0000 2017,"Didn’t know the ingredients included a piece of string, fucking grim 😷 @Tesco <media_or_link>",,image_or_link_dependent;strong_distress,,,,,,,,,
26,tesco-76260,challenge,76267,76260,Fri Dec 01 13:21:44 +0000 2017,@Tesco Someone call the cops! Tesco have ripped me off. Probz not the first and won't be the last. Every little helps when it's in Tesco's favour!,"[Customer] @Tesco Those pictures were taken over a month ago. Who keeps old receipts. Now if I knew I would be diddled by Tesco yes. Who expects to be diddled by a major retailer with such low standards. Once, twice, three times a failure, shows that it's you. || [Tesco] @customer Hi there, I understand, but I still want to refund you and report this to the supplier if I can. Please DM me with your full name, address, email address as well as the store you bought it from and the approximate date. Many thanks - Bryan <media_or_link> || [Customer] @Tesco I won't give you my name or address. Are you going to send some heavies round to pound my head in to keep me quiet? Tesco sold this rubbish, i'm not having my private details willy nilly to any stranger who asks. There you go again""approximate date"" I don't have the receipt. || [Tesco] @customer Hi there, sorry but to issue out a refund and to have your comments logged we will need the details requested above. If you would like this taken further, please don't hesitate to contact us. I really wish we could've done more. TY",money;repeated_failure,,,,,,,,,
27,tesco-2267056,natural,2267056,2267056,Fri Dec 01 11:36:51 +0000 2017,Anyone else find the new and 'improved' @Tesco website terrible? 2 hours to do online food shop is ridiculous! Considering cancelling saver deliver and moving to @sainsburys deliveries. Heard good things about them.,,,,,,,,,,,
28,tesco-497781,natural,497781,497781,Fri Dec 01 17:30:26 +0000 2017,"Tescos finest mince pies where next up for the testing. They look picture perfect, have a buttery pastry and a nice sugar sprinkle! Just more filling and they'd be 5 star! @Tesco <media_or_link>",,image_or_link_dependent,,,,,,,,,
29,tesco-2855864,challenge,2855864,2855864,Mon Nov 27 17:59:09 +0000 2017,@Tesco aplease could you tell me the minimum weight of your salmon fillets sold over the counter. The skinless and (allegedly) boneless ones (mine had a massive vertebra left in it!). Thanks.,,food_safety,,,,,,,,,
30,tesco-577439,natural,577439,577439,Sat Dec 02 23:44:17 +0000 2017,@Tesco never seen a worse looking tower of profiteroles... looks like a turd dropped on some choux pastry!?! <media_or_link>,,image_or_link_dependent;punctuation_heavy,,,,,,,,,
31,tesco-79513,natural,79513,79513,Thu Nov 30 12:36:37 +0000 2017,"@Tesco state of this, seen more chicken at a vegan dinner party 😫 <media_or_link>",,image_or_link_dependent,,,,,,,,,
32,tesco-2937805,natural,2937805,2937805,Wed Nov 29 11:17:25 +0000 2017,@customer @Tesco Thank you for supporting our Christmas Fayre. The baking and making has begun <media_or_link>,,image_or_link_dependent,,,,,,,,,
33,tesco-106393,natural,106393,106393,Thu Nov 30 18:31:11 +0000 2017,@Tesco Hi. Just bought a Lindor advent calendar for my gf. Got it home and it's wet under the wrapping.Cardboard is falling apart.,,,,,,,,,,,
34,tesco-2908618,natural,2908618,2908618,Tue Nov 28 17:12:39 +0000 2017,@Tesco I’m quite annoyed that online is advertising FIFA 18 for £36. But having gone to the store to buy a copy only to be charged £49.99 😡 <media_or_link>,,image_or_link_dependent;money,,,,,,,,,
35,tesco-2839331,challenge,2839332,2839331,Mon Nov 27 16:00:30 +0000 2017,@Tesco Yes!! Never to be seen again?,"[Customer] @Tesco shocked to see you stopped the bourbon beef &amp; cheesy mash ready meals! They were a huge faveourite! 😣 was offered liver and mash as replacement 😝😝😝 || [Tesco] @customer Hi <name_redacted>, I'm sorry to hear this. Is this the ready meal you mean? <media_or_link> Ty, Andy",context_dependent;punctuation_heavy;repeated_failure;strong_distress,,,,,,,,,
36,tesco-2934771,natural,2934771,2934771,Wed Nov 29 08:06:09 +0000 2017,"@Tesco your turkey and trimmings sandwich, just had turkey spinach and cranberry inside. Where's the bacon and stuffing at",,,,,,,,,,,
37,tesco-1971968,natural,1971968,1971968,Sun Nov 26 04:34:07 +0000 2017,Hey @Tesco @customer @sainsburys and @Morrisons ... Which of you are gonna be my wife's Xmas stocking hero and tell me you stock MD 20/20? Promised her a bottle but cant find any!,,,,,,,,,,,
38,tesco-2885411,natural,2885411,2885411,Tue Nov 28 01:01:22 +0000 2017,"Dear @Tesco - I bought a homeless guy a sandwich meal deal and a bar of chocolate just... he couldn’t go in store to buy his own. Security moved him on before I managed to give him the sandwich. Bit shit, especially coming up to Christmas.. Want to buy the sandwich back??",,strong_distress,,,,,,,,,
39,tesco-568003,natural,568003,568003,Sat Dec 02 19:44:29 +0000 2017,@Tesco Has your ‘lovingly made’ range ever seen any love! So bland and disappointing for a Saturday night! Hope the pizzas are better!!!!,,punctuation_heavy;strong_distress,,,,,,,,,
40,tesco-2920812,natural,2920812,2920812,Tue Nov 28 18:22:01 +0000 2017,Bravo @Tesco! Your Healthy Hoi-Sin Duck microwave meal is delicious! Best pop in the microwave tea I've had!,,punctuation_heavy,,,,,,,,,
41,tesco-2960691,challenge,2960692,2960691,Wed Nov 29 20:58:55 +0000 2017,@Tesco I have dmed the details over thanks for the help,"[Customer] @Tesco I wasn’t looking for a pet caterpillar when I brought a lettuce from you yesterday!!! No receipt as my local doesn’t automatically give them and I didn’t think I’d have any problems with a lettuce. Very disappointed had to throw the whole thing away! <media_or_link> || [Tesco] @customer Do you recall a use by date for the Lettuce? Can you DM with full name, address &amp; email? Is it ok to pass your details to supplier? Would you like refund by email or post. TY - Rhuari 2/2",money;strong_distress,,,,,,,,,
42,tesco-2827775,natural,2827775,2827775,Sun Nov 26 22:24:43 +0000 2017,@Tesco will not be buying from your bakery again as you obviously have issues within your company regarding health and safety! I would like some sort of compensation for this as i cannot believe this would happen in one of your stores!,,money;repeated_failure,,,,,,,,,
43,tesco-2846465,natural,2846465,2846465,Mon Nov 27 15:21:51 +0000 2017,@Tesco How long does it take to convert points to Avios vouchers? I've been waiting over a week now... Thanks.,,money,,,,,,,,,
44,tesco-504331,natural,504331,504331,Fri Dec 01 16:06:50 +0000 2017,@Tesco any idea why a game I preordered months ago that’s released today hasn’t even been DISPATCHED?! Won’t bother pre ordering again with you.,,repeated_failure,,,,,,,,,
45,tesco-454997,natural,454997,454997,Sun Nov 12 23:25:35 +0000 2017,"@Tesco can Hi— Shepherd’s Bush Tesco Express that states it’s open Monday to Sunday 7am- midnight has been shut since 11, why? 😭",,,,,,,,,,,
46,tesco-536216,natural,536216,536216,Sat Dec 02 08:57:43 +0000 2017,Can you confirm what time booking opens as there’s no slots available yet!! @Tesco <media_or_link>,,image_or_link_dependent;strong_distress,,,,,,,,,
47,tesco-475220,challenge,475220,475220,Wed Nov 29 21:15:15 +0000 2017,I got the recipe for these biscuits from last years @Tesco Christmas magazine and it is honestly one of the best biscuit recipes I have ever tried; they come out perfect every time and hold their shape so beautifully too. Give them a try: <media_or_link> <media_or_link>,,image_or_link_dependent;repeated_failure,,,,,,,,,
48,tesco-1868285,challenge,1868297,1868285,Sun Nov 26 07:48:00 +0000 2017,@customer @Tesco Did you have an email to access? I log on and can't even see ymthose dates to see if they are sold out or not in my area.,[Customer] @tesco rumours online are that the priority Xmas delivery go online soon but you need an email to book. I only signed up yesterday will I still have access to these and how do I Book? || [Customer] @customer @Tesco They went on at midnight and all gone,account_or_order;repeated_failure,,,,,,,,,
49,tesco-2896686,natural,2896686,2896686,Tue Nov 28 13:36:09 +0000 2017,@Tesco this is how my Xmas tree was delivered this morning! <name_redacted> appalling!!! I did DM but you can’t be bothered to reply it seems 😡😡😡 <media_or_link>,,context_dependent;image_or_link_dependent;punctuation_heavy;strong_distress,,,,,,,,,
50,tesco-573793,natural,573793,573793,Sun Dec 03 01:47:01 +0000 2017,When your local @Tesco says they're 24 hr so you drive there for snacks and they're closed 🙃,,,,,,,,,,,
51,tesco-2841165,challenge,2841165,2841165,Mon Nov 27 13:16:49 +0000 2017,@Tesco ... give us a clue 🤔 #tofreezeornottofreeze thanks 😅 <media_or_link>,,image_or_link_dependent,,,,,,,,,
52,tesco-2913751,natural,2913751,2913751,Tue Nov 28 19:45:20 +0000 2017,Does anyone know who to complain to about @Tesco witholding my money? #fraud #help,,money,,,,,,,,,
53,tesco-454716,natural,454716,454716,Thu Nov 30 21:47:47 +0000 2017,Hey @Tesco I have just found a piece of rope in my Green Thai Chicken soup. I only wanted to enjoy my dinner for one... no strings attached. #stillhungry <media_or_link>,,image_or_link_dependent,,,,,,,,,
54,tesco-93970,natural,93970,93970,Thu Nov 30 15:43:14 +0000 2017,@Tesco You don't sell fresh turkeys.,,,,,,,,,,,
55,tesco-2930442,challenge,2930445,2930442,Tue Nov 28 22:02:16 +0000 2017,A big trusted brand like @tesco I expect better no wonder people flock to Aldi these days I’m fuming with this,"[Customer] Absolutely disgusting in this day and age, me n my bird going to be ill now. Bought prawns from your Tesco extra in Blackpool ate almost all before realising the use by date was 3 days ago what the hell? This is dangerous with sea food, disgraceful @Tesco <media_or_link>",injury_or_allergy;strong_distress,,,,,,,,,
56,tesco-446932,challenge,446932,446932,Thu Nov 30 18:53:55 +0000 2017,@Tesco loved chopping up all the chicken and veg cooking it and then just having to eat it as the two packs of corn fajitas wraps were mouldy waste of my time and money on ingredients <media_or_link>,,food_safety;image_or_link_dependent;money,,,,,,,,,
57,tesco-2871186,natural,2871186,2871186,Mon Nov 27 20:07:26 +0000 2017,"@Tesco I just paid £5 for 200 g of smoked salmon... where is the rest of it?!?! Not happy Tesco! Saw it on offer and treated myself, now feeling very ripped off. Tesco please advise!! @customer <media_or_link>",,image_or_link_dependent;money;punctuation_heavy;strong_distress,,,,,,,,,
58,tesco-2957901,natural,2957901,2957901,Wed Nov 29 15:48:24 +0000 2017,@Tesco thanks for the quick delivery but you left the security tag on the jacket ...now what?is there away I can remove it myself? <media_or_link>,,account_or_order;image_or_link_dependent,,,,,,,,,
59,tesco-502703,natural,502703,502703,Tue Nov 28 08:05:02 +0000 2017,@Tesco I swear you couldn’t make it up. #dyingbrand <media_or_link>,,image_or_link_dependent,,,,,,,,,
60,tesco-2830203,natural,2830203,2830203,Mon Nov 27 00:11:24 +0000 2017,@Tesco really not happy xmas delivery slots available early hours so you expect your customers to stay awake! Def switch!,,account_or_order,,,,,,,,,
61,tesco-535394,natural,535394,535394,Sat Dec 02 11:12:37 +0000 2017,Yo @Tesco - have you stopped stocking Quorn chicken breast style fillets? Haven’t been able to get them for weeks now... 😒,,,,,,,,,,,
62,tesco-518960,natural,518960,518960,Fri Dec 01 22:41:59 +0000 2017,@Tesco Absolutely disgusted with the lack of care and customer services. Shopping has not turned up and I've had to call several times chasing it. Customer for 15 years &amp; have been treated appallingly. #shambles #uncaring,,repeated_failure,,,,,,,,,
63,tesco-2611817,natural,2611817,2611817,Fri Nov 17 10:09:35 +0000 2017,@Tesco regarding saving stamps in rainham essex and lakeside essex stores what is happening with these machines no stamps for 2 + months people rely on these especially for Christmas please advise,,,,,,,,,,,
64,tesco-2888931,natural,2888931,2888931,Tue Nov 28 08:27:21 +0000 2017,Service in your bury store @Tesco this morning was embarrassing. Walked out without my shopping and went elsewhere #rude staff,,,,,,,,,,,
65,tesco-555532,natural,555532,555532,Sat Dec 02 19:18:07 +0000 2017,@Tesco please can you tell me the name of your furniture courier in Sheffield?,,,,,,,,,,,
66,tesco-2883065,natural,2883065,2883065,Mon Nov 27 21:41:48 +0000 2017,@Tesco what type of bottle opener works for this?? Delivered in my online order earlier this evening <media_or_link>,,image_or_link_dependent,,,,,,,,,
67,tesco-2888917,challenge,2888910,2888917,Tue Nov 28 21:10:43 +0000 2017,@Tesco On the actual Tesco website,"[Customer] @Tesco <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'm really sorry for the wasted journey today. The £20 price has been added in error I'm afraid and I've sent details to our team to have the price updated to £34. Best wishes. Mike || [Customer] @Tesco Isn’t that classed as false advertising?! || [Tesco] @customer Hi <name_redacted>, before I can investigate this for you, I'd need you to confirm where you got that screenshot from (eg Google search, Tesco Website)",money;short_message,,,,,,,,,
68,tesco-2898277,natural,2898277,2898277,Tue Nov 28 14:54:24 +0000 2017,@tesco also chicken skewers coated in coconut with a Satay dip. The breaded chicken skewers currently available are a very poor replacement,,,,,,,,,,,
69,tesco-77780,natural,77780,77780,Wed Nov 29 22:39:33 +0000 2017,"@Tesco - Hi, <name_redacted> I order 3 items and within a few days you do a 3for2 promotion that covers those items; will you honour it and refund one?",,money,,,,,,,,,
70,tesco-1773780,challenge,1773782,1773780,Tue Nov 28 07:37:43 +0000 2017,"@Tesco Hi <name_redacted>, Yes, this isn’t the first time this store has had problems! I’m happy to receive it via email :)",[Customer] @Tesco selling out of date crisps again I see! 😂 <media_or_link> || [Tesco] @customer Has this happened before with this particular store? I would like to offer you a few extra quid as a goodwill gesture for this happening. What method would you like to receive your refund by - email or by post? TY - Rhuari 2/2,food_safety;money;repeated_failure,,,,,,,,,
71,tesco-547281,challenge,547281,547281,Sat Dec 02 16:11:29 +0000 2017,@Tesco you should do this <media_or_link>,,image_or_link_dependent;short_message,,,,,,,,,
72,tesco-2784862,natural,2784862,2784862,Sun Nov 26 12:42:56 +0000 2017,Waited in for our @Tesco delivery yesterday which was due <number_redacted>. We did not receive our order by 2100. Long story short we were told it would be with us today between <number_redacted>. Guess what no delivery! Utterly appalled #BoycottTesco #disappointed,,account_or_order,,,,,,,,,
73,tesco-2943803,natural,2943803,2943803,Wed Nov 29 09:21:59 +0000 2017,@Tesco trying to buy something online and it’s stuck at the “add new card” section....,,,,,,,,,,,
74,tesco-2964726,challenge,2964726,2964726,Wed Nov 29 21:34:13 +0000 2017,@Tesco love it when I’m eating nuts and find a nice bug in my packet. Who says Christmas doesn’t come in November?,,food_safety,,,,,,,,,
75,tesco-2963388,challenge,2963389,2963388,Wed Nov 29 17:30:13 +0000 2017,@customer @Tesco So still no parcel and now the @Tesco employee has basically said they wish they didn't offer the service as they cannot cope!!!! Not what a customer wants to hear after being stood for 20 minutes..! Absolutely furious 😡😡😡😡,"[Customer] @customer @Tesco waiting to collect my parcel, what a nightmare. Will never use click n collect at tesco again, spent 5 minutes waiting for a member of staff to help then took 10 minutes to try and locate my parcel. Appalling service. #NotHappy",punctuation_heavy;repeated_failure;strong_distress,,,,,,,,,
76,tesco-541729,natural,541729,541729,Sat Dec 02 11:58:00 +0000 2017,"@Tesco What a farce in Hanley Tesco this morning used hand scanner and bagged all shopping seemed to be a problem with tills as we had to wait 10 minutes to get to till,woman took scanner to the till to register the shopping and then said we had to rescan all shopping. Annoyed",,,,,,,,,,,
77,tesco-2946158,challenge,2946159,2946158,Wed Nov 29 16:00:35 +0000 2017,@Tesco I believe this may have been the case. It has now changed to ‘Ready For Collection’. Thanks for your help,"[Customer] @Tesco Any idea why part of my Click&amp;Collect order would be showing as Collected when I haven’t even been in to pick it up as of yet? || [Tesco] @customer Hi <name_redacted>. It may be that this is the status when it has been delivered to store but if you can DM me your full name, address and order number I'll double check for you? Ty",account_or_order,,,,,,,,,
78,tesco-2818165,natural,2818165,2818165,Sun Nov 26 16:16:09 +0000 2017,"@Tesco Hello Tesco, I have a small child that needed changing whilst in your branch. I was also was born with a Y chromosome and a penis. Can you advise therefore where I should change my child? Thanks, Rowland. <media_or_link>",,image_or_link_dependent,,,,,,,,,
79,tesco-2938775,challenge,2938776,2938775,Wed Nov 29 17:59:37 +0000 2017,@Tesco Why so long out of action? If your short staffed let me know. Or a case of management lazy itis,"[Customer] @Tesco time goes by so slowly at Tesco burnley the escalator is still out of action it’s nearly a year! Why! || [Tesco] @customer Hi <name_redacted>, I am so sorry to hear that the escalator has been out of order for so long. I called the store and spoke with one of the Managers, he said that the escalator is back up and running as of this morning. TY",injury_or_allergy;repeated_failure,,,,,,,,,
80,tesco-2893982,natural,2893982,2893982,Tue Nov 28 10:47:31 +0000 2017,Just bought a Hulk-nana from @Tesco in Emmer Green - a banana so angry that it's bursting out of its skin... <media_or_link>,,image_or_link_dependent,,,,,,,,,
81,tesco-2975092,challenge,2975092,2975092,Wed Nov 29 19:50:14 +0000 2017,@Tesco app down? Website down? I've just spent an hour putting my shop together and now can't check out! Modern shopping isn't supposed to be painful!,,punctuation_heavy,,,,,,,,,
82,tesco-95893,challenge,95909,95893,Thu Nov 30 18:30:33 +0000 2017,@Tesco Same on browser. <media_or_link>,"[Customer] @Tesco @customer Done || [Tesco] @customer @customer Thank you. To be clear was the message on the slots 'unavailable' or 'full'? Charlotte || [Customer] @Tesco @customer Hi, see screenshot below. Unavailable <media_or_link> || [Tesco] @customer Hi <name_redacted>, this appears to be a system issue. Have you tried using an alternative device or using the browser instead of the app?",context_dependent;image_or_link_dependent;short_message,,,,,,,,,
83,tesco-2933230,challenge,2933230,2933230,Tue Nov 28 23:38:04 +0000 2017,@tesco brought a pack of Tesco’s finest oranges from Hammersmith and look how destroyed the orange is. You guys are RAW!!! for selling that. 😩 <media_or_link>,,food_safety;image_or_link_dependent;punctuation_heavy;strong_distress,,,,,,,,,
84,tesco-2941541,natural,2941541,2941541,Wed Nov 29 11:45:35 +0000 2017,@Tesco pretty disgusted that you didn’t deliver my disabled mums food last night and told her it could be past 11pm due to delays and then never show up. She has no food in the house currently. Awful service! 😡,,,,,,,,,,,
85,tesco-1986657,challenge,1986663,1986657,Thu Nov 30 18:25:28 +0000 2017,"@Tesco Hi <name_redacted>, I’ve replied via DM with my details.","[Customer] Very disappointed with my @Tesco chicken and “chorizo” pasta meal. Not one piece of chorizo found and only 5 tiny pieces of chicken! 😫 <media_or_link> || [Customer] @customer @Tesco Their Italian Kitchen meals are usually sooo good! I love the mac and cheese. I bought two one evening, I dropped the first one and it split all over the kitchen floor. Then I burnt the second one! 😂😭 || [Customer] @customer @Tesco Oh dear lol 😂 I’m actually so gutted about the chorizo. This is almost as bad as the time I had no cookie dough in my Ben &amp; Jerrys ice cream. 😱 || [Tesco] @customer Details include your full name, address, email address, barcode, SC code, store of purchase and price paid? Would you prefer your refund through the post or by email? As for the Ben &amp; Jerry's, I can't imagine the horror. Ty - Reece 2/2 <media_or_link>",injury_or_allergy;money,,,,,,,,,
86,tesco-603618,natural,603619,603618,Sun Dec 03 13:40:34 +0000 2017,@Tesco It's smaller than it looks; I have tiny child hands.,"[Customer] @Tesco have you thought about a warning system on your online shopping, in case anyone accidentally buys a tiny bottle of champagne? <media_or_link>",context_dependent,,,,,,,,,
87,tesco-564560,natural,564560,564560,Sat Dec 02 16:42:24 +0000 2017,@Tesco just witnessed your food driver of ?????FKY drive so fast around a roundabout his back end span out of control. 16:15hrs. A2 / A249 Key Street roundabout #sittingbourne heading onto southbound A249,,punctuation_heavy,,,,,,,,,
88,tesco-83748,natural,83748,83748,Thu Nov 30 12:57:38 +0000 2017,@Tesco can you please stop hiding the 10p bags on your self-service checkouts. Just means you have to stand there for 2-3 mins waiting for someone to be free and get you one. Makes your self checkout pointless!!,,account_or_order;strong_distress,,,,,,,,,
89,tesco-2846456,natural,2846456,2846456,Mon Nov 27 15:36:13 +0000 2017,@Tesco how can I make a complaint about the Customer Service desk at your Bishops Stortford store? TIA,,,,,,,,,,,
90,tesco-100237,natural,100237,100237,Thu Nov 30 15:29:00 +0000 2017,@Tesco you have cancelled my order twice this week as it's bulk and to a business address - ITS FOR A FOOD BANK! Merry Christmas,,,,,,,,,,,
91,tesco-2832260,natural,2832260,2832260,Sun Nov 26 23:37:44 +0000 2017,@Tesco Well done! Release Christmas delivery slots... Website screwed Can't even do weekly shop let alone Christmas shop! Downright cock-up!,,account_or_order;punctuation_heavy,,,,,,,,,
92,tesco-2943844,natural,2943844,2943844,Wed Nov 29 14:25:24 +0000 2017,Can't wait to put the Christmas decoration up this weekend🌲⛄️❤️,,,,,,,,,,,
93,tesco-2963385,natural,2963385,2963385,Wed Nov 29 21:06:42 +0000 2017,Would like to personally like to congratulate @Tesco for creating luxury wrapping paper that refuses to accept the properties of cellotape 👌,,,,,,,,,,,
94,tesco-524365,challenge,524365,524365,Fri Dec 01 23:48:51 +0000 2017,@Tesco finally after 1/2 hour at a self service til just waiting for authorised item..then had shopping cancelled and told scam them all again !!!!!!! Not happy,,punctuation_heavy;repeated_failure;strong_distress,,,,,,,,,
95,tesco-2837814,natural,2837814,2837814,Mon Nov 27 13:28:05 +0000 2017,"@Tesco A lot of your own branded products are still packaged in non-recyclable plastic. Can this be improved? Why wait for legislation to change. It's a no-brainer. What are we waiting for?! thanks in advance, j",,punctuation_heavy;repeated_failure,,,,,,,,,
