retrieval_review_id,query_case_id,candidate_case_id,sample_slice,retrieved_by,bm25_rank,outcome_rank,outcome_tier,lexical_score,rerank_score
retrieval-review-032,tesco-514149,tesco-1260891,natural,bm25,3,,,15.506040848578227,
retrieval-review-033,tesco-514149,tesco-2084629,natural,outcome,,1,positive_followup_proxy,13.174309190771691,0.7321452952696836
retrieval-review-034,tesco-514149,tesco-1629083,natural,bm25,1,,,19.565381846016315,
retrieval-review-035,tesco-568989,tesco-2594846,natural,bm25;outcome,1,1,positive_followup_proxy,21.66173072122086,1.0
retrieval-review-036,tesco-568989,tesco-1392540,natural,bm25;outcome,2,3,unclassified_followup,18.296973655505106,0.6926278694257808
retrieval-review-037,tesco-568989,tesco-1980784,natural,bm25,3,,,18.027748652379998,
retrieval-review-038,tesco-568989,tesco-1723172,natural,outcome,,2,positive_followup_proxy,15.39550839402582,0.7627935470887279
retrieval-review-039,tesco-91710,tesco-1626334,natural,bm25,3,,,14.702811093694717,
retrieval-review-040,tesco-91710,tesco-398482,natural,outcome,,3,no_customer_followup,13.606094187634026,0.6513937724300559
retrieval-review-041,tesco-91710,tesco-1971696,natural,bm25;outcome,1,1,no_customer_followup,16.373788087423634,0.7899999999999999
retrieval-review-042,tesco-91710,tesco-1843056,natural,bm25,2,,,15.577361662950576,
retrieval-review-043,tesco-91710,tesco-1218494,natural,outcome,,2,positive_followup_proxy,9.817590817491102,0.6716653634064109
retrieval-review-044,tesco-2888917,tesco-778364,challenge,bm25,1,,,30.224512727693146,
retrieval-review-045,tesco-2888917,tesco-2592574,challenge,bm25;outcome,3,3,unclassified_followup,26.025792616812197,0.706087477341933
retrieval-review-046,tesco-2888917,tesco-2348099,challenge,outcome,,1,positive_followup_proxy,24.72993375393874,0.8509304418214687
retrieval-review-047,tesco-2888917,tesco-2394840,challenge,bm25;outcome,2,2,unclassified_followup,28.722420448397457,0.7792477906883207
retrieval-review-048,tesco-2848277,tesco-1173181,natural,bm25,3,,,12.826998834565694,
retrieval-review-049,tesco-2848277,tesco-737642,natural,outcome,,1,positive_followup_proxy,11.095449948809808,0.8463320370731824
retrieval-review-050,tesco-2848277,tesco-813198,natural,bm25,1,,,13.654257114797545,
retrieval-review-051,tesco-2848277,tesco-1271229,natural,outcome,,2,positive_followup_proxy,10.44084624176374,0.8070201188000121
retrieval-review-052,tesco-2848277,tesco-1940516,natural,bm25,2,,,13.300588965076017,
retrieval-review-053,tesco-2848277,tesco-1949938,natural,outcome,,3,positive_followup_proxy,10.185717044809987,0.7916984546667538
retrieval-review-054,tesco-475220,tesco-1295433,challenge,outcome,,1,positive_followup_proxy,16.964702357342624,0.823254803547615
retrieval-review-055,tesco-475220,tesco-1795775,challenge,bm25,3,,,18.202146799955056,
retrieval-review-056,tesco-475220,tesco-754371,challenge,bm25;outcome,2,2,unclassified_followup,19.008460990432383,0.7207485037219589
retrieval-review-057,tesco-475220,tesco-2394834,challenge,bm25,1,,,21.62604283139446,
retrieval-review-058,tesco-475220,tesco-2253298,challenge,outcome,,3,positive_followup_proxy,14.164995790380251,0.7170976391136115
retrieval-review-059,tesco-2905888,tesco-1032818,natural,bm25;outcome,3,3,positive_followup_proxy,9.152716975119525,0.784398611666301
retrieval-review-060,tesco-2905888,tesco-991277,natural,outcome,,1,positive_followup_proxy,8.567734715313035,0.8393780245797298
retrieval-review-061,tesco-2905888,tesco-1584714,natural,bm25,2,,,9.363548281903538,
retrieval-review-062,tesco-2905888,tesco-1571095,natural,bm25,1,,,10.654802260106536,
retrieval-review-063,tesco-2905888,tesco-1027747,natural,outcome,,2,positive_followup_proxy,8.086857837020224,0.802369450363716
retrieval-review-064,tesco-2846456,tesco-1232268,natural,bm25,2,,,18.293528414030455,
retrieval-review-065,tesco-2846456,tesco-895056,natural,bm25;outcome,1,1,positive_followup_proxy,19.179140706734678,1.0
retrieval-review-066,tesco-2846456,tesco-1006846,natural,bm25;outcome,3,2,positive_followup_proxy,18.159889828742486,0.9064221498380207
retrieval-review-067,tesco-2846456,tesco-2024358,natural,outcome,,3,positive_followup_proxy,18.061125336694168,0.9021994954074612
retrieval-review-068,tesco-590187,tesco-2193000,natural,bm25;outcome,2,2,unclassified_followup,17.305560628669433,0.719775940523442
retrieval-review-069,tesco-590187,tesco-1306136,natural,bm25;outcome,1,1,no_customer_followup,19.71524597667039,0.7899999999999998
retrieval-review-070,tesco-590187,tesco-1575174,natural,bm25;outcome,3,3,unclassified_followup,17.121531334695845,0.7121217615577364
retrieval-review-071,tesco-1986657,tesco-1287741,challenge,bm25;outcome,1,1,no_customer_followup,42.28778656933435,0.7399999999999999
retrieval-review-072,tesco-1986657,tesco-1944670,challenge,bm25,2,,,29.443087769879924,
retrieval-review-073,tesco-1986657,tesco-2654074,challenge,bm25,3,,,29.417551442193012,
retrieval-review-074,tesco-1986657,tesco-774484,challenge,outcome,,3,positive_followup_proxy,23.65295886222133,0.6386531440992087
retrieval-review-075,tesco-1986657,tesco-1069033,challenge,outcome,,2,positive_followup_proxy,24.893517790497317,0.6627087498358303
retrieval-review-076,tesco-585177,tesco-944419,natural,outcome,,2,positive_followup_proxy,11.714873639836417,0.8336529116258695
retrieval-review-077,tesco-585177,tesco-22224,natural,bm25;outcome,1,3,unclassified_followup,14.696173173575872,0.82
retrieval-review-078,tesco-585177,tesco-1856552,natural,bm25,2,,,14.285989340128118,
retrieval-review-079,tesco-585177,tesco-2455618,natural,outcome,,1,positive_followup_proxy,13.741900469733254,0.8967546001323725
retrieval-review-080,tesco-585177,tesco-2238206,natural,bm25,3,,,13.965905113092894,
retrieval-review-081,tesco-577442,tesco-2603319,natural,outcome,,3,positive_followup_proxy,17.107075755643343,0.7739646984882329
retrieval-review-082,tesco-577442,tesco-1179795,natural,bm25;outcome,3,1,positive_followup_proxy,19.24651874656819,0.9045001319113994
retrieval-review-083,tesco-577442,tesco-2040784,natural,bm25,2,,,20.037429034985987,
retrieval-review-084,tesco-577442,tesco-1789149,natural,bm25;outcome,1,2,no_customer_followup,21.783495512345805,0.7899999999999999
retrieval-review-085,tesco-76260,tesco-1033823,challenge,outcome,,3,positive_followup_proxy,26.866949787925357,0.7635091505699236
retrieval-review-086,tesco-76260,tesco-1455443,challenge,bm25;outcome,1,2,no_customer_followup,34.775975700239115,0.7899999999999999
retrieval-review-087,tesco-76260,tesco-1443413,challenge,bm25,2,,,31.8641716291171,
retrieval-review-088,tesco-76260,tesco-2348099,challenge,outcome,,1,positive_followup_proxy,27.213241688940727,0.8216745392647016
retrieval-review-089,tesco-76260,tesco-1496095,challenge,bm25,3,,,31.685901027754696,
retrieval-review-090,tesco-603618,tesco-2539172,natural,bm25;outcome,1,2,no_customer_followup,17.82219697079292,0.7399999999999999
retrieval-review-091,tesco-603618,tesco-1293104,natural,bm25,3,,,14.105737663407727,
retrieval-review-092,tesco-603618,tesco-1637914,natural,outcome,,3,positive_followup_proxy,10.140962040408992,0.6465860716702317
retrieval-review-093,tesco-603618,tesco-1946858,natural,bm25;outcome,2,1,positive_followup_proxy,17.57986323680956,0.8888502151450796
retrieval-review-094,tesco-502703,tesco-1458226,natural,bm25;outcome,2,2,unclassified_followup,13.122389839266482,0.7535325733869176
retrieval-review-095,tesco-502703,tesco-2207231,natural,outcome,,3,positive_followup_proxy,9.84069022702483,0.7450861406726819
retrieval-review-096,tesco-502703,tesco-1018150,natural,bm25,3,,,11.719523979754452,
retrieval-review-097,tesco-502703,tesco-720880,natural,bm25;outcome,1,1,positive_followup_proxy,14.279886561285222,0.85
retrieval-review-098,tesco-2850028,tesco-398482,natural,bm25;outcome,3,2,no_customer_followup,13.606094187634026,0.528893149094939
retrieval-review-099,tesco-2850028,tesco-1435901,natural,outcome,,3,unclassified_followup,12.68590452453026,0.521094814651239
retrieval-review-100,tesco-2850028,tesco-1386253,natural,bm25,2,,,17.17577994600498,
retrieval-review-101,tesco-2850028,tesco-1287714,natural,bm25;outcome,1,1,private_handoff_without_outcome,19.962665944156463,0.5899999999999999
retrieval-review-102,tesco-2896686,tesco-1342927,natural,bm25;outcome,2,2,unclassified_followup,20.31299059199307,0.7954665955373836
retrieval-review-103,tesco-2896686,tesco-1849973,natural,bm25;outcome,1,3,no_customer_followup,20.93947423924418,0.7899999999999999
retrieval-review-104,tesco-2896686,tesco-2391405,natural,bm25,3,,,17.651664766712674,
retrieval-review-105,tesco-2896686,tesco-927691,natural,outcome,,1,positive_followup_proxy,15.870188777792826,0.8014843147016784
retrieval-review-106,tesco-2824379,tesco-2349873,natural,bm25,1,,,18.379004812839582,
retrieval-review-107,tesco-2824379,tesco-1435196,natural,bm25,2,,,17.854664281837433,
retrieval-review-108,tesco-2824379,tesco-2348099,natural,outcome,,3,positive_followup_proxy,11.853887752469369,0.708874553111513
retrieval-review-109,tesco-2824379,tesco-973702,natural,outcome,,2,unclassified_followup,15.908828309588765,0.7097902931473947
retrieval-review-110,tesco-2824379,tesco-1974268,natural,outcome,,1,positive_followup_proxy,13.19198133565613,0.7685751054203418
retrieval-review-111,tesco-2824379,tesco-1508807,natural,bm25,3,,,16.66163515642983,
retrieval-review-112,tesco-579499,tesco-1054298,natural,bm25,2,,,18.959760551807875,
retrieval-review-113,tesco-579499,tesco-1918138,natural,bm25,3,,,17.48502984863703,
retrieval-review-114,tesco-579499,tesco-927692,natural,outcome,,3,positive_followup_proxy,15.500812457643045,0.6864234046505105
retrieval-review-115,tesco-579499,tesco-1758169,natural,bm25,1,,,19.36351770094889,
retrieval-review-116,tesco-579499,tesco-972387,natural,outcome,,2,no_customer_followup,17.260702932248183,0.7009506786439902
retrieval-review-117,tesco-579499,tesco-1946392,natural,outcome,,1,positive_followup_proxy,14.592215463129499,0.7979464322838317
