query_order,candidate_order,retrieval_review_id,query_case_id,query_message,query_prior_context,candidate_message,candidate_reply,relevance_grade,relevance_reason,reviewer_id
5,2,retrieval-review-021,tesco-2852985,@Tesco Your self service checkouts need a serious software update particularly with regard Scan and Pack...,,Why are @Tesco still giving these out from self service checkouts <media_or_link>,"@customer Hi there. I'm very sorry about that. Can you let me know what store you received this from? 1/2 @customer If it helps, you are able to use these round pounds in our store until the 22nd of October. TY- Charlotte 2/2",,,
5,3,retrieval-review-022,tesco-2852985,@Tesco Your self service checkouts need a serious software update particularly with regard Scan and Pack...,,"@Tesco your new software on self service tills is terrible. Locks up scanning small club card,slow to scan barcodes etc",@customer I'm really sorry for the inconvenience caused JP. Can you send me a DM to tell me more about the changes you don't like? I'll pass it on :) <media_or_link>,,,
5,4,retrieval-review-023,tesco-2852985,@Tesco Your self service checkouts need a serious software update particularly with regard Scan and Pack...,,"@Tesco 3/6 self-checkouts out of service at Chineham, Basingstoke <media_or_link>","@customer I'm sorry for the inconvenience caused Donald, please be assured it is within our interest to get these fixed as soon as possible. 1/2 @customer The faults would've been reported to our IT Team and they'll do what they can to have them up and running again. Thanks, Leah. 2/2",,,
6,1,retrieval-review-024,tesco-2855864,@Tesco aplease could you tell me the minimum weight of your salmon fillets sold over the counter. The skinless and (allegedly) boneless ones (mine had a massive vertebra left in it!). Thanks.,,@Tesco Meal for me with my weight training,"@customer If East Didsbury Superstore isn't too far, I can see that our system currently shows 22 there. TY - Paige 3/3",,,
6,2,retrieval-review-025,tesco-2855864,@Tesco aplease could you tell me the minimum weight of your salmon fillets sold over the counter. The skinless and (allegedly) boneless ones (mine had a massive vertebra left in it!). Thanks.,,@Tesco Massive thanks to yr lass in North Berwick store who chased me across car park in torrential rain to return mobile I left on counter.,"@customer Hi <name_redacted>, I am really glad you got your phone back without going through the sheer panic of realising you lost it :)",,,
6,3,retrieval-review-026,tesco-2855864,@Tesco aplease could you tell me the minimum weight of your salmon fillets sold over the counter. The skinless and (allegedly) boneless ones (mine had a massive vertebra left in it!). Thanks.,,"@Tesco No, I was just cleaning the kitchen and appalled by the state mine had got into and I just needed to tell someone.",@customer I hope it's nice and sparkly clean now :),,,
6,4,retrieval-review-027,tesco-2855864,@Tesco aplease could you tell me the minimum weight of your salmon fillets sold over the counter. The skinless and (allegedly) boneless ones (mine had a massive vertebra left in it!). Thanks.,,@Tesco can you please tell me what you type of 'butter' used on your fish counter garlic &amp; herb salmon fillets? Dairy or vegetable based?,"@customer Hi <name_redacted>, please wait while I forward your query to our support team.",,,
6,5,retrieval-review-028,tesco-2855864,@Tesco aplease could you tell me the minimum weight of your salmon fillets sold over the counter. The skinless and (allegedly) boneless ones (mine had a massive vertebra left in it!). Thanks.,,@Tesco just found a massive chunk of bone in the water that is meant to be chicken mini fillets #notimpressed #mostlywater,"@customer Hi <name_redacted>, I'm sorry to hear that the chicken you purchased from us wasn't up to our usual high standards. 1/5 @customer I'd like to log this feedback internally and issue you with a refund via Moneycard (either by post or email, your choice) 2/5 @customer Could you DM me your name, address/email address as well as the barcode, supplier code and date on the product packaging? 3/5 @customer Could you also take a picture of the bottom of your receipt for me too? (showing all the numbers) 4/5 @customer Lastly, would it be okay to pass your details on to our suppliers in case they wish to contact you? Thanks - Peter 5/5",,,
7,1,retrieval-review-029,tesco-514149,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,"@Tesco Hi pls can you restock kinder eggs in the lancaster tesco express - i’m getting kinda sad about it many thanks, Jess x x x","@customer Hi , thanks for getting in touch, best thing to do would be to ask my colleagues in store for a customer request. They can then do that for you there and then. TY-Phil",,,
7,2,retrieval-review-030,tesco-514149,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,So rude to see two ladies on their phone while serving at a checkout at @Tesco in Leeds city centre! Customer service at it's worst! #angry,@customer Hi Lauren; I'm sorry we let you down :( Please can you DM a description of my colleagues and the time you visited? 1/2 @customer I'll happily inform the Store Management Team so that they're made personally aware of your feelings and feedback - Mat 2/2 <media_or_link>,,,
7,3,retrieval-review-031,tesco-514149,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,@Tesco just been on the phone to your customer service department &amp; received the worst customer service EVER! So unhelpful and rude!!!,"@customer Hi <name_redacted>, I'm really sorry you've not received the best customer service from us. Could you DM me and elaborate on this please? 1/2 @customer Could you also DM me your phone number so I can listen in to the call you had with my colleague? Thanks - Peter 2/2",,,
7,4,retrieval-review-032,tesco-514149,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,@Tesco can you help with opticians customer service too?,"@customer Hi <name_redacted>, can you DM me and elaborate on the customer experience you received? Ty - James <media_or_link>",,,
7,5,retrieval-review-033,tesco-514149,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,Nice on @Tesco - You’ve turned the “late night” pumps off! Never again will I go out of my way to come here. 😤😤😡😡 <media_or_link>,"@customer Hi <name_redacted>, can you confirm which store this was so I can look into this? Kind regards",,,
7,6,retrieval-review-034,tesco-514149,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,@Tesco the worst customer service ever #useless,"@customer Hi there, I'm sorry to hear you've not had a great experience with our customer service team. I'd like to investigate this further 1/2 @customer Could you DM me a summary of your complaint along with your name and address too please? TY - Peter 2/2",,,
8,1,retrieval-review-035,tesco-568989,"Next time I have to remove one of these security tags from a DVD that I have purchased from @Tesco, the manager of said Tesco is going to have to go to hospital to get it surgically removed from his rectum #tesco #shopsecurity <media_or_link>",,"Clearly shouldn't online shop at Xmas. @Tesco maim you with partially removed security tags, while @customer don't even attempt to remove them <media_or_link>","@customer Oh no, I am really sorry to hear that. Please can you return to the store to report this to my colleagues? They will then be able to fill out the relevant forms with you.",,,
8,2,retrieval-review-036,tesco-568989,"Next time I have to remove one of these security tags from a DVD that I have purchased from @Tesco, the manager of said Tesco is going to have to go to hospital to get it surgically removed from his rectum #tesco #shopsecurity <media_or_link>",,Waste of time! 30mile round trip to @Tesco to have security tags removed from dvds which were delivered in online shop...v unhappy customer!,"@customer I'm sorry for the inconvenience, Lynn. I'm glad it's sorted. Charlotte",,,
8,3,retrieval-review-037,tesco-568989,"Next time I have to remove one of these security tags from a DVD that I have purchased from @Tesco, the manager of said Tesco is going to have to go to hospital to get it surgically removed from his rectum #tesco #shopsecurity <media_or_link>",,"@Tesco bought two DVDs, security tag wasn’t removed and I have no receipt 😫 can I go to store without receipt to have tags taken off?😬","@customer Hey <name_redacted>, do you have any other proof of purchase, I.e. bank statement? if not, the store will have to use their discretion. TY",,,
8,4,retrieval-review-038,tesco-568989,"Next time I have to remove one of these security tags from a DVD that I have purchased from @Tesco, the manager of said Tesco is going to have to go to hospital to get it surgically removed from his rectum #tesco #shopsecurity <media_or_link>",,@Tesco I bought these using scan as you shot but I didn't get stopped when I walked through the beeping sensors. Can I hand these in with a receipt to get the tags removed. <media_or_link>,"@customer Hey. Yes, if you return to store with your receipt a member of staff will remove them for you. Sorry for the inconvenience. TY",,,
9,1,retrieval-review-039,tesco-91710,Howard @Tesco Stockport is the slowest cashier EVER! He seemed genuinely surprised by every single item that appeared on his conveyor belt (which he managed to stop).,,classic mislabeling by @Tesco every single grape has seeds. <media_or_link>,"@customer Hi <name_redacted>, I am sorry you have bought this. Can you please DM me a few details so I can get this logged and investigated by our supplier. 1/3 @customer I need the following: full name, address, store, picture of the barcode area, price and date of purchase. 2/3 @customer With your permission can I send your details to our supplier? TY - Rian 3/3",,,
9,2,retrieval-review-040,tesco-91710,Howard @Tesco Stockport is the slowest cashier EVER! He seemed genuinely surprised by every single item that appeared on his conveyor belt (which he managed to stop).,,@Tesco every single time <media_or_link>,"@customer Hi <name_redacted>, Very sorry to see that the seal has been broken on your soup. Would you like me to feed this back to the supplier? Kind Regards",,,
9,3,retrieval-review-041,tesco-91710,Howard @Tesco Stockport is the slowest cashier EVER! He seemed genuinely surprised by every single item that appeared on his conveyor belt (which he managed to stop).,,@Tesco It was literally every product I tried. Seemed to stop doing it once I had booked a slot though!,"@customer Hi <name_redacted>, thank you for getting back to us, I am glad you were able to place an order. Please let us know if we can help with anything else.",,,
9,4,retrieval-review-042,tesco-91710,Howard @Tesco Stockport is the slowest cashier EVER! He seemed genuinely surprised by every single item that appeared on his conveyor belt (which he managed to stop).,,@Tesco Hertford. The cashier was lovely but seemed unaware of the deadline. He was really lovely though. Young lad with a beard. Real credit to you,"@customer Hi <name_redacted>, thanks for letting me know about this issue and i'm glad to hear that they got it sorted for you straight away.1/2 @customer What I've done is phone the store and made them aware of this issue as we can't have that happening again. Thanks James 2/2",,,
9,5,retrieval-review-043,tesco-91710,Howard @Tesco Stockport is the slowest cashier EVER! He seemed genuinely surprised by every single item that appeared on his conveyor belt (which he managed to stop).,,@Tesco He usually has just the Tesco Everyday Value in tomato sauce. He has three tins a week. They keep his coat shiny!,"@customer Hi <name_redacted>, sorry again that you couldn't find any sardines. I have passed this back to my support team to have it looked into!",,,
10,1,retrieval-review-044,tesco-2888917,@Tesco On the actual Tesco website,"[Customer] @Tesco <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'm really sorry for the wasted journey today. The £20 price has been added in error I'm afraid and I've sent details to our team to have the price updated to £34. Best wishes. Mike || [Customer] @Tesco Isn’t that classed as false advertising?! || [Tesco] @customer Hi <name_redacted>, before I can investigate this for you, I'd need you to confirm where you got that screenshot from (eg Google search, Tesco Website)","@Tesco Hi <name_redacted>, I have sent you a DM. Best wishes, Shane",@customer Hi <name_redacted>. I've responded to your DM :) Kind regards,,,
10,2,retrieval-review-045,tesco-2888917,@Tesco On the actual Tesco website,"[Customer] @Tesco <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'm really sorry for the wasted journey today. The £20 price has been added in error I'm afraid and I've sent details to our team to have the price updated to £34. Best wishes. Mike || [Customer] @Tesco Isn’t that classed as false advertising?! || [Tesco] @customer Hi <name_redacted>, before I can investigate this for you, I'd need you to confirm where you got that screenshot from (eg Google search, Tesco Website)",@Tesco might be helpful if you informed the shop of the price that you are advertising this at...£229 in store 😡 #false-advertising at its best <media_or_link>,"@customer Hi <name_redacted>, thanks for contacting us, Tesco Direct and online are separate parts of the business. 1/2 @customer Therefore prices can vary between the two. I hope this helps. - Ceri 2/2",,,
10,3,retrieval-review-046,tesco-2888917,@Tesco On the actual Tesco website,"[Customer] @Tesco <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'm really sorry for the wasted journey today. The £20 price has been added in error I'm afraid and I've sent details to our team to have the price updated to £34. Best wishes. Mike || [Customer] @Tesco Isn’t that classed as false advertising?! || [Tesco] @customer Hi <name_redacted>, before I can investigate this for you, I'd need you to confirm where you got that screenshot from (eg Google search, Tesco Website)",@Tesco Hi <name_redacted>. I've just DM'd details as requested. Can you keep me updated please as to why this keeps happening? Thanks,"@customer @customer Hi <name_redacted>, I have logged your complaint on our systems and this will be fed back to the store. Ty",,,
10,4,retrieval-review-047,tesco-2888917,@Tesco On the actual Tesco website,"[Customer] @Tesco <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'm really sorry for the wasted journey today. The £20 price has been added in error I'm afraid and I've sent details to our team to have the price updated to £34. Best wishes. Mike || [Customer] @Tesco Isn’t that classed as false advertising?! || [Tesco] @customer Hi <name_redacted>, before I can investigate this for you, I'd need you to confirm where you got that screenshot from (eg Google search, Tesco Website)",@Tesco Hi <name_redacted> have sent details and screenshot from just now. Thank you,"@customer Hello <name_redacted>, can you try clearing cache and cookies on your browser? If that doesn't work try a different browser instead. Let me know how you get on! TY",,,
11,1,retrieval-review-048,tesco-2848277,"Also @Tesco, my cats say thank you for the box (read: I forgot my bags) <media_or_link>",,"I always say ""no thank you"" to bags at the checkout but they still use these small bags &amp; always too late for me to stop them @Tesco <media_or_link>","@customer Hi <name_redacted>, our cashiers are trained to use them to avoid cross contamination of meat and fish products. 1/2 @customer I'm really sorry you are unhappy with the bags. Can you please DM me your full name, address and email so I can log this? Thanks - Mark 2/2",,,
11,2,retrieval-review-049,tesco-2848277,"Also @Tesco, my cats say thank you for the box (read: I forgot my bags) <media_or_link>",,Hey @Tesco what’s the taurine for? Is this like red bull for cats? <media_or_link>,"@customer Hi <name_redacted>, we're looking into this for you and will be back as soon as possible as to why this is added @customer Hi Dan; Tauring helps to support a healthy heart and eyes in cats. I hope this is of some help - Mat :)",,,
11,3,retrieval-review-050,tesco-2848277,"Also @Tesco, my cats say thank you for the box (read: I forgot my bags) <media_or_link>",,Just went and forgot my @customer at @Tesco after paying for it 😭 was looking forward to the read tonight,"@customer Hi <name_redacted>, If you let me know which store you left the magazine in I could try and track it down for you :).",,,
11,4,retrieval-review-051,tesco-2848277,"Also @Tesco, my cats say thank you for the box (read: I forgot my bags) <media_or_link>",,"@Tesco Hello, do you have any facilities to recycle this mountain of plastic bags at any of your stores? Thank you. <media_or_link>","@customer Hi <name_redacted>, if you let me know your local store I can call to check this out for you? Ty",,,
11,5,retrieval-review-052,tesco-2848277,"Also @Tesco, my cats say thank you for the box (read: I forgot my bags) <media_or_link>",,@Tesco Sorry forgot to say bought the curry on Friday 27 October.,"@customer Hi <name_redacted>, thank you for providing me with those details. I would advise that you delete your tweets, as you've posted publicly. 1/3 @customer I've now documented this on our system, and issued you with a £4.00 Tesco Moneycard. 2/3 @customer Please note, that this can take up to 10 working days to arrive. Regards - Isaac 3/3",,,
11,6,retrieval-review-053,tesco-2848277,"Also @Tesco, my cats say thank you for the box (read: I forgot my bags) <media_or_link>",,"I have to say, very good customer service at @Tesco thank you!","@customer Hi <name_redacted>, I've logged this and arranged for a £1 moneycard to be sent within 30 minutes. If there's anything else, let us know. TY",,,
12,1,retrieval-review-054,tesco-475220,I got the recipe for these biscuits from last years @Tesco Christmas magazine and it is honestly one of the best biscuit recipes I have ever tried; they come out perfect every time and hold their shape so beautifully too. Give them a try: <media_or_link> <media_or_link>,,@Tesco Thank you so much!! You are honestly the best company. So helpful!,"@customer Heh, if you thought that was helpful, I'll do you one better! :D - Robyn <media_or_link>",,,
12,2,retrieval-review-055,tesco-475220,I got the recipe for these biscuits from last years @Tesco Christmas magazine and it is honestly one of the best biscuit recipes I have ever tried; they come out perfect every time and hold their shape so beautifully too. Give them a try: <media_or_link> <media_or_link>,,@Tesco Is this the best recipe suggestion you can come up with for nuts? Sprinkle them on meat &amp; fish? #vegan #govegan <media_or_link>,"@customer Hi <name_redacted>, I'm really sorry that you are unhappy with the serving suggestions on the packs of Tesco Whole Food nuts. 1/2 @customer I'd like to log your concerns that there are no vegetarian suggestions. Can you please DM Me your full name, address and email? TY-Paul 2/2",,,
12,3,retrieval-review-056,tesco-475220,I got the recipe for these biscuits from last years @Tesco Christmas magazine and it is honestly one of the best biscuit recipes I have ever tried; they come out perfect every time and hold their shape so beautifully too. Give them a try: <media_or_link> <media_or_link>,,"@Tesco on real food it states customer recipe, can we upload our own recipes for others to try out #everylittlehelps","@customer You certainly can Nick, you just need to log in to do! Any recipe you had in mind? #EveryLittleHelps <media_or_link>",,,
12,4,retrieval-review-057,tesco-475220,I got the recipe for these biscuits from last years @Tesco Christmas magazine and it is honestly one of the best biscuit recipes I have ever tried; they come out perfect every time and hold their shape so beautifully too. Give them a try: <media_or_link> <media_or_link>,,@Tesco have you changed the recipe of these? The ones I had last night were a different shape and had no taste! <media_or_link>,"@customer Hi <name_redacted>, I'm sorry you didn't enjoy your bacon rashers last night. I have asked my support team to look into this and will get back to you ASAP to let you know :-) TY @customer Hi again Simon, my support team have come back to me and have informed there has been a slight modification to the recipe since last August. There has been a new bacon seasoning added. 1/2 @customer I can log your feedback on our system to inform them of your comments. If you send me some info in a DM I can do this. I would need your full name, address and postcode as well as which store you purchased the bacon rashers. TY - Steph 2/2",,,
12,5,retrieval-review-058,tesco-475220,I got the recipe for these biscuits from last years @Tesco Christmas magazine and it is honestly one of the best biscuit recipes I have ever tried; they come out perfect every time and hold their shape so beautifully too. Give them a try: <media_or_link> <media_or_link>,,@Tesco Why have you discontinued your Tesco Finest Katsu curry!? It was the best one ever!,"@customer Hi <name_redacted>, could you please let us know which store you visit for shopping and I will look into this for you? TY",,,
13,1,retrieval-review-059,tesco-2905888,@Tesco Do Widnes have LEGO Police Station 60141?,,"@Tesco I ordered 2x LEGO 60052, collected via click and collect then took home to find 2x LEGO 60051! £80 difference in value.... <media_or_link>","@customer Hi <name_redacted>. Sorry about this. Please send me a DM with your full name, address and order number so I can help you. Neil",,,
13,2,retrieval-review-060,tesco-2905888,@Tesco Do Widnes have LEGO Police Station 60141?,,@Tesco Hi it was Station Road,"@customer Hi <name_redacted>, I have checked it for you. Please return to the store with your receipt and voucher provided. TY",,,
13,3,retrieval-review-061,tesco-2905888,@Tesco Do Widnes have LEGO Police Station 60141?,,@Tesco I have not but I am considering police action,"@customer Hi there, thanks for letting me know. We'll be happy to co-operate with any police action taken. 1/2 @customer If this happens in the future, please let a member of staff or security know. I'm so sorry this happened to you. TY - Robyn 2/2",,,
13,4,retrieval-review-062,tesco-2905888,@Tesco Do Widnes have LEGO Police Station 60141?,,@Tesco Small and large trolley it a joke You loss not mine end up only going in for essentials 3 trolleys next to Rotherhithe police station,"@customer Hi there, I've spoken with the store and they are aware of this situation. 1/3 @customer It is being dealt with, however, sometimes they can't oversee customers taking trolleys away. 2/3 @customer Could you please let me know whether these trolleys next Rotherhithe police station are still there? TY - Eve 3/3",,,
13,5,retrieval-review-063,tesco-2905888,@Tesco Do Widnes have LEGO Police Station 60141?,,@Tesco May I DM you the station?,"@customer Hi there, you certainly can. :)",,,
14,1,retrieval-review-064,tesco-2846456,@Tesco how can I make a complaint about the Customer Service desk at your Bishops Stortford store? TIA,,@Tesco can I please get a reply to my DM? I would like to make a complaint about the service I have received!,"@customer Hi Róisín, I've responded to your DM. Regards",,,
14,2,retrieval-review-065,tesco-2846456,@Tesco how can I make a complaint about the Customer Service desk at your Bishops Stortford store? TIA,,@Tesco how do I make a complaint please?,@customer Hi <name_redacted>. I'm sorry you have something to complain about. 1/2 @customer Could you please specify what the complaint is and I can see if I can resolve it for you. Thanks Calum,,,
14,3,retrieval-review-066,tesco-2846456,@Tesco how can I make a complaint about the Customer Service desk at your Bishops Stortford store? TIA,,@Tesco - how do I make a formal complaint,"@customer Hi <name_redacted>, If you could DM us and let us know what has happened we will be able to look into it for you. Thanks",,,
14,4,retrieval-review-067,tesco-2846456,@Tesco how can I make a complaint about the Customer Service desk at your Bishops Stortford store? TIA,,@Tesco Please can you tell me how I can contact the store manager of a Tesco Metro store to make a complaint?,"@customer Hi <name_redacted>, if you could DM some details about yourself and store in question. I could organize for a manager to give you a call. Lawrence",,,
15,1,retrieval-review-068,tesco-590187,@Tesco @customer Shrivelled luke-warm spud with an after thought of three day old salad. This is legendary 😂 <media_or_link>,"[Customer] 40 minute wait for our order of 1 all day breakfast, 1 jacket potato and 2 kids meals in the café at @Tesco earlier. This was what the all day breakfast looked like. Now, I wasn't expecting anything of @customer quality, but all the same. Hmmn, glaze of lard 😂 <media_or_link>","@Tesco See earlier in our conversation, it's the same error",@customer Hi <name_redacted>. It seems strange that it works for us here but not on your end. Have you tried another computer or device? This would help narrow down where the problem is. Thanks,,,
15,2,retrieval-review-069,tesco-590187,@Tesco @customer Shrivelled luke-warm spud with an after thought of three day old salad. This is legendary 😂 <media_or_link>,"[Customer] 40 minute wait for our order of 1 all day breakfast, 1 jacket potato and 2 kids meals in the café at @Tesco earlier. This was what the all day breakfast looked like. Now, I wasn't expecting anything of @customer quality, but all the same. Hmmn, glaze of lard 😂 <media_or_link>",@Tesco I wasnt expecting to need to get a refund or contact you. I thought the quality was good,"@customer Hi <name_redacted>, my colleagues at store of purchase can get a receipt if a Clubcard or debit/credit card used, within 30 days of transaction.",,,
15,3,retrieval-review-070,tesco-590187,@Tesco @customer Shrivelled luke-warm spud with an after thought of three day old salad. This is legendary 😂 <media_or_link>,"[Customer] 40 minute wait for our order of 1 all day breakfast, 1 jacket potato and 2 kids meals in the café at @Tesco earlier. This was what the all day breakfast looked like. Now, I wasn't expecting anything of @customer quality, but all the same. Hmmn, glaze of lard 😂 <media_or_link>","Bonfire night is my fave. Nothing better than wrapping up warm and having hot dogs, jacket potato and mushy peas for tea 😋🎇🍂",@customer Definitely one of the cosiest nights of the year isn't it Harley ☺️ Don't forget the sweet treats 😇🍬🍫 <media_or_link>,,,
