case_id,conversation_id,created_at,message,prior_context,historical_reply,customer_followup,private_handoff_proxy,positive_outcome_proxy,unresolved_outcome_proxy,split,selection_intent
tesco-1502145,1502145,Fri Nov 03 15:04:23 +0000 2017,Okay so @Tesco in Collier Row has sold me 1) out of date houmous and 2) onion houmous disguised as normal houmous 💀💀💀 #checkbeforeyoubuy <media_or_link>,,"@customer Hi <name_redacted>, thank you for contacting us. I can understand how upsetting this is. 1/4 @customer For me to pass this to the store, can you DM me some more information? 2/4 @customer Can you let me know your full name, address, amount you paid, store you purchased them from and the barcode. 3/4 @customer Once I have received this I will arrange a Tesco Moneycard to be sent out to you and also get this fed back to the store. TY, Gemma 4/4",,True,False,False,train,product_quality_or_safety
tesco-1722110,1722110,Tue Oct 17 18:32:45 +0000 2017,"@Tesco @customer @customer found this rock/piece of glass in my Tesco cucumber and chipped my tooth, never shopping with you again <media_or_link>",,"@customer Hi <name_redacted>, I'm so sorry you found a stone in your cucumber. We'd like to investigate this further. 1/5 @customer Can you take the product, receipt and packaging to any Metro, Extra or Superstore please? 2/5 @customer You can then complete the relevant forms so this can be thoroughly investigated and be contacted within 14 working days. 3/5 @customer You'll also be given a refund or an exchange once there so that you're not left out of pocket for this. 4/5 @customer Can you also DM us your full name and address so that we can ensure colleagues in store link this to your details. TY - Paige 5/5","@Tesco Dammit I binned the receipt, could have really done with that refunded 50p towards my new tooth",True,False,False,train,product_quality_or_safety
tesco-2549952,2549960,Mon Oct 30 13:27:49 +0000 2017,@customer @Tesco This continual lack of action by the council when it comes to businesses is a major scandal - your response makes it worse! @customer,"[Customer] Two lorries today!! @Tesco why do you continually park illegally outside the store in Harringay? And why do you allow it @customer? <media_or_link> || [Customer] @customer @Tesco you can report illegally parked vehicles here <media_or_link> or call <number_redacted> for faster response. Thx || [Customer] @customer @Tesco Sorry, why should I have to report it? It goes on all the time. Why don’t your inspectors take any action, ever? || [Customer] @customer @Tesco They don’t wait for someone to “report” cars parked illegally - they ticket them and then tow them away an hour or so later!","@customer Hi there, I'm sorry about the inconvenience. The store is allowed to accept deliveries between 7:00 and 9:00. 1/4 @customer In cases of inconsiderate parking we use an independent organisation to monitor this. 2/4 @customer Our customers can contact How's My Driving if they have a complaint about one of our vehicles.3/4 @customer The contact number is <number_redacted> it's open 24/7. You can also email them on __email__. Thanks Ian 4/4",@Tesco Says who? <media_or_link>,False,False,False,train,product_quality_or_safety
tesco-1843369,1843369,Wed Oct 18 07:55:25 +0000 2017,"When life gives you lemons, you better hope they're not as mouldy as @Tesco's. Even @customer couldn't make lemonade from these bad boys. <media_or_link>",,"@customer Hi <name_redacted>, I'm sorry the lemon you have bought from us is mouldy, could you please DM me some details so I can get this logged? 1/2 @customer Full name, address, barcode, price, date code and the store. TY - Rian 2/2",,True,False,False,train,product_quality_or_safety
tesco-1955170,1955170,Mon Oct 30 12:29:21 +0000 2017,Is this some sort of joke @Tesco just brought these before I got the train and there is none in here!! Just wasted £5 and still sick 😡🤢 <media_or_link>,,"@customer Hi <name_redacted>, I'm very sorry to learn that there was no tablets in the package. Could you please let me know where you bought it? 1/4 @customer I will contact the store and let them know. Could you please DM us your full name, address, email, time of visit, product barcode? 2/4 @customer I will log your feedback on our internal system for review and arrange a refund. 3/4 @customer Please let us know preference of receiving a Moneycard, via post or via e-mail. TY - Eve 4/4",,True,False,False,train,product_quality_or_safety
tesco-2456482,2456482,Tue Nov 14 23:20:29 +0000 2017,@Tesco been to tesco to day and got some yahoo milkshakes to get them home give my 3 year old child one and my wife . to found out they are dated the 23/09/2017 2 months out of date .,,"@customer Hello <name_redacted>, I am sorry the milkshakes you purchased were out of date and I can appreciate this must be very concerning. Can you please send a pic of the barcode and date? Can you also send a picture of your full receipt? 1/2 @customer Can you please DM your full name, address and email? I can issue a Moneycard refund and let the store know. Would you prefer to receive this by email or post? TY - Chris 2/2",,True,False,False,train,product_quality_or_safety
tesco-1577481,1577484,Sat Nov 04 17:21:05 +0000 2017,"@Tesco Done :) it's the big tesco in Slough by train station. Indoor is nice, staff always lovely/hard at work but never feels v. Safe outside","[Customer] The @Tesco at #Slough feels more run down every visit. Xings are dangerous, drunks yelling, cars parked illegally, escalators dead... <media_or_link> || [Tesco] @customer Hi <name_redacted>, I'm really sorry to see this. Could you DM me your name, address and when you were in the store so I can log this? TY","@customer Hi <name_redacted>, I have now logged your feedback internally. I have also fed this back to store management. 1/2 @customer Please rest assured that this will be dealt with appropriately and accordingly. Thanks - Mark 2/2",,False,False,False,train,product_quality_or_safety
tesco-1418633,1418636,Wed Nov 01 21:26:30 +0000 2017,@Tesco So the store are going to contact me with an explanation and compensation?,"[Customer] @Tesco sister brought Scottish plain loaf in your Camelon Store got it to London and this ... mouldy yuc 😡 <media_or_link> || [Customer] @Tesco Your response is poor A £1 gcard I'll prob forget abt Selling mouldy loaf is bad. Not completed due dil in checkin dates is criminal || [Tesco] @customer Hi <name_redacted>, I'm sorry you're unhappy with our response. The £1 is a refund for the product, the store's looking into how it happened. TY","@customer Not unless requested Andy, if you'd like a store colleague to call please DM us your preferred number &amp; a suitable time to call. TY",@Tesco I just think it's rest negligent that you have mouldy bread beyond its sell by date on your shelves. An email response will suffice,True,False,False,train,product_quality_or_safety
tesco-2026356,2026356,Mon Nov 06 16:49:45 +0000 2017,@Tesco why oh why have you stopped stocking Franks hot sauce. #gutted. 😪😳,,"@customer Hi there, sorry that we not longer stock this product, I personally love frank's hot sauce too so I understand your disappointment 1/2 @customer We still sell this variety however <media_or_link> have you tried it yet? Regards - Peter 2/2","@Tesco Yeah, tried it last night. Too buttery, not hot enough. #bringbackfranks",False,False,False,train,product_availability
tesco-923844,923844,Sat Oct 21 09:52:46 +0000 2017,@Tesco hi will this top be available F&amp;F Floral Mesh Lace High Neck Top Catalogue Number:227-1986 online again soon,,"@customer Hi <name_redacted>, I'll check this for you. What size and colour were you looking for? Thanks, Dee.",@Tesco Size 8 or 19 please thanks,False,True,False,train,product_availability
tesco-1289079,1289081,Thu Oct 26 19:22:01 +0000 2017,@Tesco @customer If you could clarify whether the range has been finished I'd be most grateful please. 1 of only 3 foods my son will eat,[Customer] @Tesco what’s happened to Heinz spaghetti and sausage? Not been able to buy it for weeks! #spaghettishortage || [Tesco] @customer Hi <name_redacted>. I'm currently trying to find out why this product doesn't seem to be available. Please bare with me while I do this. TY. Alisha,"@customer Hi <name_redacted>, unfortunately we no longer sell this item due to supplier issues. Thanks",,False,False,False,train,product_availability
tesco-789395,789395,Thu Oct 12 09:48:51 +0000 2017,Why are Chinese Pancakes not more widely available?! Nobody stocks them! @Tesco @customer @sainsburys,,"@customer Hi <name_redacted>, I'm really sorry but this isn't something that we stock at the moment. If you like I can certainly log this for you. 1/2 @customer If you'd like me to do this, please DM with your full name, address and postcode? Thanks, Jessica 2/2",,True,False,False,train,product_availability
tesco-742804,742813,Wed Oct 11 17:14:00 +0000 2017,@Tesco And when my scales break from all those extra lb's who do I blame?? 🤔,[Customer] @Tesco not as delicious as the naughty mini rhubarb crumbles you sell Alisha... || [Tesco] @customer Try melting the marshmallows on top of the crumble and top it with our Creme Fraiche. It makes a truly delicious combination. :) || [Customer] @Tesco Oh my Alisha! You are not helping here! 🤣 maybe at the weekend but have to get through the rest of a tough week at work before then! || [Tesco] @customer Let us know if you try it. We'd love to know what you think of the winning combo.,@customer Blame the scales! They'll never know how delicious food is. All they do is judge. #StopTheScales.,@Tesco #NaughtyTesco,False,False,False,train,product_availability
tesco-1621373,1621373,Sun Nov 05 15:42:28 +0000 2017,They’ve stopped stocking gnocchi at my local @Tesco in tooting and I for one am livid 😡,,"@customer Hi <name_redacted>, I am so sorry to learn about this issue. If possible would you be able to DM me with some details so I can get this logged? 1/3 @customer Can you send your name, address, postcode and email address please? 2/3 @customer Once I have these details I will be more than happy to get this logged and looked into for you. Thanks - Callum 3/3",,True,False,False,train,product_availability
tesco-2590153,2590153,Mon Oct 30 18:13:46 +0000 2017,@Tesco do you sell almond milk,,"@customer Hey there, we do indeed sell almond milk, if you DM me your postcode I will check the availability in store for you.",,True,False,False,train,product_availability
tesco-1735893,1735893,Tue Oct 17 19:07:32 +0000 2017,@Tesco why have you stopped selling Powerade?!,,"@customer Hi <name_redacted>, thanks for getting in touch this evening. We still stock the Powerade Berry/Tropical Fruit flavour. 1/2 @customer Can you let me know which store you were looking for this in? #Regards - Phil. 2/2",,False,False,False,train,product_availability
tesco-2363555,2363555,Mon Nov 13 18:58:32 +0000 2017,@Tesco why are you still selling eggs from caged hens?,,"@customer Hi there, I can understand your concern. We're committed to moving to 100% cage-free eggs and are working with our suppliers to make this happen. Thanks",@Tesco I'm super happy that you feel it's the right thing to do to go cage free but to get it done by 2025? If you were genuinly focused about it surely this could be cut significantly? You could lose a lot of custom through boycotts as people start to become more aware.,False,False,False,train,product_availability
tesco-1946994,1946994,Mon Oct 30 09:36:14 +0000 2017,What it do @Tesco !! you still selling big pumpkins or what or not or what?,,"@customer Hi <name_redacted>, could you please tell me which store you would be visiting and I can check if they have them in stock? Thanks, Calum",@Tesco Possibly yiewsley or Hayes fam,False,False,False,train,product_availability
tesco-1125602,1125602,Sun Oct 15 11:43:40 +0000 2017,@Tesco @Tesco please help Tesco’s years ago used to sell 10 pack of jam donuts I’m I wrong ?(old picture of the pack would be great to 😄👍),,"@customer Hey, are you able to tell me a bit more about these doughnuts like were they from the bakery or pre-packaged etc? 1/2 @customer Also are you able to tell me why you’re asking and I can look into this further for you. Thanks Megan",@Tesco They were in a bag like your 5 pack ones. And I was only asking because I thought you did but my gf don’t remember them 😂 || @Tesco Oh Ye and bakery yes,False,False,False,train,product_availability
tesco-2220482,2220482,Fri Nov 10 13:00:58 +0000 2017,"Super soup. Using up gammon stock, an onion, a potato, some chunks of ham from the bargain fridge at Tesco. Half a bag of petit pois. Blitz. All the bread and butter. 🤤 <media_or_link>",,@customer Nicely done Vee 🙌 A very warming and hearty soup...perfect for these colder afternoons ☺️ Any other recipes in mind to try over the winter months?,,False,False,False,train,product_availability
tesco-2112700,2112700,Wed Nov 08 14:59:08 +0000 2017,@Tesco Cannot see my clubcard details online - getting error message. Is there a system fault or just me???,,"@customer Hi there, there was a problem with the website for a while but it is up and running now. Thanks - Gemma :)",,False,False,False,train,pricing_promotion_or_clubcard
tesco-1467602,1467602,Thu Nov 02 19:25:39 +0000 2017,@Tesco Why do my parents get 9 extra vouchers with their Clubcard statement but we never do?,,"@customer Hi <name_redacted>, can you let us know what type of vouchers these are please? We can look into this for you. Thanks","@Tesco Hi <name_redacted>. Extra points for buying certain products. We did used to have them but haven't for a long time. I thought they'd stopped but my parents still have them. Thanks, Laura.",False,True,True,train,pricing_promotion_or_clubcard
tesco-1211879,1211881,Wed Oct 25 12:19:34 +0000 2017,@Tesco Still doesn’t give me anything to eat for lunch though does it. Can provide more photos if needed !!,[Customer] Thanks crappy @Tesco for my beyond dead salad may as well thrown away the £2.10 #disgusting #foodpoising <media_or_link> || [Tesco] @customer Are you happy for us to attach your details to the report we send to our supplier? - Allyn 4/4,"@customer Hi, if you're able to DM us the information requested above we can send out a Tesco Moneycard via post or email. 1/2 @customer If you're unhappy with the quality and would like a replacement however, please return to store with the receipt. TY - Paige 2/2 <media_or_link>",@Tesco Of course I’m unhappy with it! It’s disgusting The salad is dead. I’m stuck in work and unable to go to the local Tesco,True,False,False,train,pricing_promotion_or_clubcard
tesco-2390741,2390742,Tue Nov 14 10:22:14 +0000 2017,@Tesco Okie dokie chaars,[Customer] @Tesco How comes the sim free version is way cheaper then the locked on? dont make sense <media_or_link> || [Tesco] @customer Hi <name_redacted>. I'm just querying this with my Support Team as I'm not sure why there is such a big price difference. Please bear with me just now and I'll get back to you soon. Ty,@customer Hi <name_redacted>. I've received a reply from my Support Team in regards to the price difference on the Samsung Note 8. I can confirm that SIM free mobile phones will be listed as a lower price. This is in line with other mobile phone retailers. 1/2 @customer Our Tesco Mobile listings are slightly higher due to the mobile phone being locked to our network and a Tesco mobile SIM card being provided. I do hope this information helps. Ty - Karen 2/2,"@Tesco Very strange how an unlocked phone is £100 cheaper then a locked version, but thanks for checking",False,True,False,train,pricing_promotion_or_clubcard
tesco-1200621,1174142,Wed Oct 25 14:25:25 +0000 2017,@Tesco It’s the mango 150g the collective yoghurt,"[Customer] How have @Tesco increased the price of collective yoghurt from 80p to £1.05?!?! || [Tesco] @customer Hi <name_redacted>, can you please send me a link to the product you're referring to? Thanks","@customer Hi <name_redacted>, I'm sorry you're not happy about the price increase of the collective mango yogurts 1/4 @customer We work closely with our suppliers and continuously review our packaging, ingredients, processing and other factors that make up an item 2/4 @customer We will always strive to give our customers the best possible value and pass on price reductions where possible. 3/4 @customer I would like to log your feedback however, could you DM me your full name and email address please? TY - Peter 4/4",,True,False,False,train,pricing_promotion_or_clubcard
tesco-1018360,1018360,Sat Oct 14 12:16:19 +0000 2017,Erm @Tesco I’m all for avocados but charging twice (£4) for an extra large one seems a bit unnecessary 😐 <media_or_link>,,"@customer Hi <name_redacted>, I'm really sorry to hear your avocado was scanned through twice! I'd like to make an internal log of this 1/2 @customer Could you please DM me your name, email, address and postcode? Can you also send the bottom most row of digits from the receipt - Nick 2/2",,True,False,False,train,pricing_promotion_or_clubcard
tesco-342902,342908,Tue Oct 17 13:27:59 +0000 2017,"@Tesco Hey, it was just the normal sma first milk x","[Customer] A pointless trip to @Tesco , no Sma baby milk! 👊🏻😡😩 || [Customer] @customer @Tesco Oh dear, you’ve not run out have you? Xx || [Customer] @customer @Tesco I went to Morrisons! How can a big supermarket run out of milk! 😳 || [Tesco] @customer Hi <name_redacted>, What kind of SMA baby milk was it? regards","@customer Hi <name_redacted>, thank you for getting back to us. There are different sizes and ages within the range. 1/2 @customer Can you please point out which one you're referring to: <media_or_link> ? Thanks - Luciano 2/2",@Tesco This one x <media_or_link>,False,False,False,train,pricing_promotion_or_clubcard
tesco-1381588,1381588,Fri Oct 27 22:43:59 +0000 2017,@customer FUMING!bought a whole £5 cookie dough tub from @Tesco just to find only 2 bits of cookie dough in it. 2 BITS?? Never again.,,"@customer Worst Friday ever! So sorry, Aimee. Please DM your name, address, barcode, date code and a picture of your receipt. 1/2 @customer Once I have the info above I can report this, are you OK with your details being forwarded to our supplier with the report? TY- Leighton 2/2",,True,False,False,train,pricing_promotion_or_clubcard
tesco-1629912,1629912,Sun Nov 05 14:52:27 +0000 2017,To me this feels like @Tesco are trying to trick customers - @customer 1L bottle where the 70cl bottle should be with the offer below... <media_or_link>,,"@customer Which store did you visit? I'll give them a call to let them know &amp; to get this sorted. Thanks - Laura 2/2 @customer Hi <name_redacted>, it looks like the shelf edge label is in the incorrect place. Did you let any of my colleagues know? 1/2",,False,False,False,train,pricing_promotion_or_clubcard
tesco-1881658,1881658,Sat Oct 21 16:56:49 +0000 2017,"@Tesco Not too impressed your own brand chocolate bars have gone up in price from 30p to 45p, use frequently in recipes, will go to Aldi now",,"@customer Sorry about that! Can you DM me your full name, address &amp; a clear photo of the barcode? I'll log your feedback. #TY",,True,False,False,train,pricing_promotion_or_clubcard
tesco-1655669,1655669,Tue Oct 17 13:57:43 +0000 2017,Star Wars Christmas jumper @Tesco £23 though!! #starwars <media_or_link>,,"@customer Hi <name_redacted>, looks quite nice In my opinion. I think you should pick this up and join the dark side! Thanks",,False,False,False,train,pricing_promotion_or_clubcard
tesco-1584751,1584751,Sat Nov 04 18:22:50 +0000 2017,£1 for a cauliflower ... Really @Tesco ? <media_or_link>,,"@customer Hi <name_redacted>, I'm sorry to see this. Can you tell us whether you purchased this in store or was it delivered with your groceries? TY. Mike",@Tesco It was purchased in store,False,False,False,train,pricing_promotion_or_clubcard
tesco-2120312,2120313,Wed Nov 08 15:19:08 +0000 2017,@Tesco Thank you. The avocado was loose. I have the receipt.,"[Customer] @Tesco Lunch ruined by 'Ready To Eat' avocado being rock hard and under-ripe. ☹️ || [Tesco] @customer Oh no Gemma, I'm sorry for the let down. Do you still have the packaging? I can take some details to feed this back and refund you","@customer No worries Gemma, can you DM a pic of the full receipt showing the price and numbers across the bottom? 1/2 @customer Can you also DM your title, full name and address details? I'll report the quality issue and send you a Tesco Moneycard. Thanks, Leah. 2/2 <media_or_link>",,True,False,False,train,refund_return_or_exchange
tesco-1132269,1132273,Tue Oct 24 12:43:00 +0000 2017,"@Tesco But do different areas of the country have different fulfillment centres? I'm in Kent. But if I was in Dundee, for example..?","[Customer] @tesco I need some info on Tesco Direct. Do all items come from Fenny Lock or do you have other fulfillment centres? || [Customer] @Tesco Also, do returned items go to Fenny Lock or somewhere else? || [Tesco] @customer Not all of our items come from Fenny. If you can let us know the items your looking at I'll check for you?","@customer Hi, our fulfillment centres are all based down the South of England. 1/2 @customer Unfortunately we wouldn't be able to provide much information around this as this is corporate sensitive information. Thanks",,False,False,False,train,refund_return_or_exchange
tesco-61153,61149,Sun Nov 05 11:09:43 +0000 2017,@Tesco Hi i cant find the receipt any longer. I literally had it for less than 7 days as i washed it on day of purchase,[Customer] @Tesco bought this. Washed it after buying unused and its gone rusty! Didnt non stick!! Please explain <media_or_link> || [Tesco] @customer Can you please let me know if you would rather a refund through the post or to your email? TY - Mark 4/4,"@customer Hi <name_redacted>, Do you have the other details my colleague asked for? We'll be able to put this through without the receipt. Thanks",,False,False,False,train,refund_return_or_exchange
tesco-1960870,1960871,Mon Oct 30 23:48:38 +0000 2017,@Tesco Yes of course that's ok,"[Customer] Erm this isn't a good sign @Tesco we are actually vomming over this!!!!! 🤢🤢not happy #Halloween #pumpkindeath <media_or_link> || [Tesco] @customer Would you like your refund by post or email, okay with me passing your details to our supplier as they may wish to contact you Ty, Andy 3/3","@customer Hi <name_redacted>, I'll look forward to your DM with the requested details.",,True,False,False,train,refund_return_or_exchange
tesco-1722098,1722098,Tue Oct 17 18:14:55 +0000 2017,"@Tesco Poor show with Helpline today,nothing but rude &amp; didn't want to listen,1man said return faulty item (laptop) other said send it to HP",,"@customer Hi <name_redacted>, thanks for getting in touch and I'm sorry you're having problems with your HP laptop. 1/3 @customer So that I can look into this for you, can you please DM me with your full name (if different to your profile) 2/3 @customer Postal address, telephone number and email address. Thanks - Gavin 3/3",@Tesco disappointed a substitution was made on my shopping when the item was available when my husband went instore later this morning 1/2 || @Tesco he also saw the item the day before so I know it was instore &amp; available &amp; he didn't get it then as knew it was on my shopping 😯,True,False,False,train,refund_return_or_exchange
tesco-63302,63303,Wed Nov 01 21:53:10 +0000 2017,"@Tesco I do have all those things. However, my bank have cancelled my card and sent me a new one. Is that going to be a problem?",[Customer] @Tesco hi. Could you let me know your policy on returns of non faulty items? I want to return the PlayStation and games I bought last Sat. || [Tesco] @customer You have up to 30 days to change your mind on the item and return it. Hope this helps. Thanks Stuart 2/2,"@customer Hi <name_redacted>, that shouldn't be a problem it will still be the same account. Thanks",,False,False,False,train,refund_return_or_exchange
tesco-691330,691330,Sat Oct 21 19:46:05 +0000 2017,@Tesco not sure how caterpillar should look like this 🤔😣how do we get a refund <media_or_link>,,"@customer Hi there, please can you DM your name, address &amp; email linked with the account?",@Tesco Have sent details thanks guys 😊👌,True,True,False,train,refund_return_or_exchange
tesco-1278231,1265884,Thu Oct 26 12:48:01 +0000 2017,@Tesco Well the 'foreign body' is down the sink now and the receipt long gone so I guess a refund isn't happening 😒,"[Customer] @Tesco I just found a hair in my Leek and Potato soup and I definitely don't have short dark hair 😷😠 <media_or_link> || [Tesco] @customer Please can you also provide us with your name, address &amp; email? So we have a log of this on our system. - Rocsi 4/4 <media_or_link>","@customer Hi <name_redacted>, if you can send a photo of front/back of packaging of product I can look into at least refunding you for this happening. 1/3 @customer Can you please DM with your full name, address &amp; email? I can then log this &amp; refund you. I can refund by post or email. TY - Rhuari 3/3 @customer I will only be able to refund you without a receipt if it was Tesco branded soup. Can you confirm price &amp; store where you bought this? 2/3","@Tesco No it was Heinz soup, but thank you anyway, I'll try tweeting them",True,True,False,train,refund_return_or_exchange
