case_id,system_name,handling_decision,proposed_draft,draft_was_replaced,draft_reply,proposed_warning_flags,proposed_warning_count,static_warning_flags,static_warning_count
tesco-64413,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-2899807,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-562470,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-599505,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2890034,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-576221,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2848270,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-2892572,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,False,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,[],0,[],0
tesco-2964734,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-74931,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2935489,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for checking. Product details can change, so a colleague needs to verify the current packaging or product record before Tesco answers.",False,"Thanks for checking. Product details can change, so a colleague needs to verify the current packaging or product record before Tesco answers.",[],0,[],0
tesco-76260,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
tesco-2267056,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-497781,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2855864,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-577439,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-79513,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for checking. Product details can change, so a colleague needs to verify the current packaging or product record before Tesco answers.",False,"Thanks for checking. Product details can change, so a colleague needs to verify the current packaging or product record before Tesco answers.",[],0,[],0
tesco-2937805,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-106393,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2908618,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-2839331,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,False,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,[],0,[],0
tesco-2934771,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-1971968,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for asking. Availability can vary by store and time, so a colleague needs to verify the current stock information before Tesco answers.",False,"Thanks for asking. Availability can vary by store and time, so a colleague needs to verify the current stock information before Tesco answers.",[],0,[],0
tesco-2885411,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-568003,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-2920812,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2960691,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry about this. A colleague needs to check the return, replacement, or refund details before Tesco can make any commitment. Please don't post personal or payment details publicly.",False,"I'm sorry about this. A colleague needs to check the return, replacement, or refund details before Tesco can make any commitment. Please don't post personal or payment details publicly.",[],0,[],0
tesco-2827775,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-2846465,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,False,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,[],0,[],0
tesco-504331,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-454997,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-536216,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-475220,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-1868285,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2896686,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-573793,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2841165,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-2913751,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-454716,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-93970,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for asking. Availability can vary by store and time, so a colleague needs to verify the current stock information before Tesco answers.",False,"Thanks for asking. Availability can vary by store and time, so a colleague needs to verify the current stock information before Tesco answers.",[],0,[],0
tesco-2930442,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,False,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,[],0,[],0
tesco-446932,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,False,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,[],0,[],0
tesco-2871186,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,False,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,[],0,[],0
tesco-2957901,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-502703,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2830203,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-535394,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for asking. Availability can vary by store and time, so a colleague needs to verify the current stock information before Tesco answers.",False,"Thanks for asking. Availability can vary by store and time, so a colleague needs to verify the current stock information before Tesco answers.",[],0,[],0
tesco-518960,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
tesco-2611817,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-2888931,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-555532,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2883065,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2888917,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
tesco-2898277,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry about this. A colleague needs to check the return, replacement, or refund details before Tesco can make any commitment. Please don't post personal or payment details publicly.",False,"I'm sorry about this. A colleague needs to check the return, replacement, or refund details before Tesco can make any commitment. Please don't post personal or payment details publicly.",[],0,[],0
tesco-77780,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-1773780,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,False,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,[],0,[],0
tesco-547281,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2784862,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2943803,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2964726,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-2963388,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
tesco-541729,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-2946158,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2818165,tescogpt_guarded_template_v1_policy_v1,ESCALATE,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,False,Thanks for taking the time to share this with Tesco—we appreciate your feedback.,[],0,[],0
tesco-2938775,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2893982,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2975092,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
tesco-95893,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2933230,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,False,I'm sorry about this. Please stop using the product. A trained colleague needs to review the safety or quality concern before Tesco responds further. Please don't share personal details publicly.,[],0,[],0
tesco-2941541,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-1986657,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-603618,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-564560,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-83748,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
tesco-2846456,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-100237,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2832260,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2943844,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2963385,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-524365,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-2837814,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for checking. Product details can change, so a colleague needs to verify the current packaging or product record before Tesco answers.",False,"Thanks for checking. Product details can change, so a colleague needs to verify the current packaging or product record before Tesco answers.",[],0,[],0
tesco-70745,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-2939802,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2833771,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
