case_id,system_name,handling_decision,draft_reply,static_warning_flags,static_warning_count
tesco-562470,simple_rules_bm25_v1,ESCALATE,"@customer Hello <name_redacted>, I am sorry you had to wait while my colleague was delivering and I appreciate this must have been inconvenient for you. I will give the store a call when the department reopens later. TY @customer Hi <name_redacted>, thanks for your patience. I've passed all these details to the Home Shopping team in store and they will be addressing this with the driver. I'm confident this will not happen again. Thanks for letting me know.","[""over_public_length_limit""]",1
tesco-599505,simple_rules_bm25_v1,ESCALATE,"@customer Hello <name_redacted>, I am sorry you are not receiving what you ordered and I appreciate this is inconvenient, can you please DM some info? 1/2 @customer I require your full name, address and email. I can log your feedback for further review. TY - Chris 2/2","[""private_channel_request"", ""personal_data_request""]",2
tesco-2890034,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I completely agree with your frustration on this, to be told one thing and then driving all the way there to be told no. 1/3 @customer The store manager would be the best person to raise this complaint to as it is a store incident however I want to log this on our side. 2/3 @customer To do so can you please DM me with a few details? Your full name, address, store, time of visit and who did you speak to? Ty - Darren 3/3","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-576221,simple_rules_bm25_v1,ESCALATE,"@customer Hey <name_redacted>, I'd be happy to document your feedback for review, to do this can you DM your full name and email address? Ty - James <media_or_link>","[""private_channel_request"", ""personal_data_request""]",2
tesco-2848270,simple_rules_bm25_v1,ESCALATE,"@customer You're welcome Stuart, if you need anything else don't hesitate to get back in touch :)",[],0
tesco-2892572,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm really sorry this has happened to you. I can log your feedback if you can DM me your full name, address and the store. TY Megan","[""private_channel_request"", ""personal_data_request""]",2
tesco-2964734,simple_rules_bm25_v1,ESCALATE,@customer This isn't good to hear. Can you please DM where and when this specifically happened? Thanks,"[""private_channel_request""]",1
tesco-74931,simple_rules_bm25_v1,ESCALATE,"@customer Hey, can you try clearing your cache&amp;cookies and adding this to your basket again please? Many thanks",[],0
tesco-2935489,simple_rules_bm25_v1,ESCALATE,"@customer Hi there, I'm incredibly sorry you found a feather in this sandwich. This isn't acceptable at all! 1/4 @customer Please can you take the sandwich and packaging back to a Metro/Superstore/Extra store? 2/4 @customer We'll need to send the item off for investigation. You'll also be able to obtain a refund or exchange when in store. 3/4 @customer You'll then be contacted in 14 working days by our written response team who'll give you an outcome. TY - Olivia 4/4","[""over_public_length_limit""]",1
tesco-76260,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, you can email our customer service team at __email__. Many thanks",[],0
tesco-2267056,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, thank you for getting in touch, I'm sorry you are unhappy with our new website, I'd like to log your feedback for review. 1/2 @customer Please can you DM what you're unhappy about, the full name, address &amp; email address registered to your grocery account? TY- Hannah. 2/2","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-497781,simple_rules_bm25_v1,ESCALATE,"@customer Sorry to hear that, please can you DM your full name, address and the barcode number? I can then fully log your feedback.","[""private_channel_request"", ""personal_data_request""]",2
tesco-2855864,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, please wait while I forward your query to our support team.",[],0
tesco-577439,simple_rules_bm25_v1,ESCALATE,"@customer We can make sure this is fed back, can you please DM your name &amp; email address? Ty","[""private_channel_request"", ""personal_data_request""]",2
tesco-79513,simple_rules_bm25_v1,ESCALATE,"@customer I'm sorry for the damaged party rings, Caroline. I imagine this was disappointing. 1/3 @customer Please can you DM your name, address, store bought, price and pic of date and barcode area on the packet? 2/3 @customer I'd like to refund you via Tesco Moneycard. Charlotte 3/3 <media_or_link>","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2937805,simple_rules_bm25_v1,ESCALATE,@customer Glad we could help 😊,[],0
tesco-106393,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, Thanks for your tweet, Can you DM us your full name, address, postcode and nearest store details and I will be able to check our list of stores that will have the Kellogs advent calender available? Ty","[""private_channel_request"", ""personal_data_request""]",2
tesco-2908618,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry for the confusion. The £1 will be returned within a couple of days. 1/2 @customer £1 charge is pre-authorisation check and the deduction is made to check that there are no blocks on the card. TY - Eve 2/2",[],0
tesco-2839331,simple_rules_bm25_v1,ESCALATE,"@customer No problem Karen, I hope that you have a good day. Thanks",[],0
tesco-2934771,simple_rules_bm25_v1,ESCALATE,@customer It's that time of year again 🙌 What's your go to meal deal now that it's back on the shelves?,[],0
tesco-1971968,simple_rules_bm25_v1,ESCALATE,"@customer Morning <name_redacted> :) Interesting sounding product! Where have you seen this advertised? I've not been able to find my end, sorry",[],0
tesco-2885411,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>. You wouldn't get both the crisps AND the chocolate bar, as they are both snack options. It's one or the other. Hope this helps",[],0
tesco-568003,simple_rules_bm25_v1,ESCALATE,@customer What's the plan Liv? Going to watch a local display or having a gathering of your own? 😇🎆,[],0
tesco-2920812,simple_rules_bm25_v1,ESCALATE,"@customer Hi there, enjoy your meal :) Paras",[],0
tesco-2960691,simple_rules_bm25_v1,ESCALATE,@customer I'll reply to your DM shortly :),"[""private_channel_request""]",1
tesco-2827775,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, the Store Manager would be able to address any concerns, we can pass it to them if you'd like to DM the details? Thanks, Leah. <media_or_link>","[""private_channel_request""]",1
tesco-2846465,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, previous Clubcard collection period ends 19/10/17. You will receive your Clubcard statement in mid November. TY","[""unsupported_financial_promise""]",1
tesco-504331,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm so sorry for the delay in getting back to you and that you're waiting for your order. Can you DM me a few details please? 1/2 @customer I'll need the order number and the full name and address registered to the Direct account. I'll then be back in touch ASAP. TY, Dee. 2/2","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-454997,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'd like to look into this what store are you referring to? Ty",[],0
tesco-536216,simple_rules_bm25_v1,ESCALATE,"@customer I don't have a store listed on Gorgie Road, is it this one? <media_or_link> If so, they opened at 7am Fraser. I hope this helps, Leah.",[],0
tesco-475220,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry you didn't enjoy your bacon rashers last night. I have asked my support team to look into this and will get back to you ASAP to let you know :-) TY @customer Hi again Simon, my support team have come back to me and have informed there has been a slight modification to the recipe since last August. There has been a new bacon seasoning added. 1/2 @customer I can log your feedback on our system to inform them of your comments. If you send me some info in a DM I can do this. I would need your full name, address and postcode as well as which store you purchased the bacon rashers. TY - Steph 2/2","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-1868285,simple_rules_bm25_v1,ESCALATE,"@customer Hi, I do apologise about this. Can you please DM us with your full name, address and also order number? TY","[""private_channel_request"", ""personal_data_request""]",2
tesco-2896686,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I have replied to your private tweet. Thanks - Gemma :)",[],0
tesco-573793,simple_rules_bm25_v1,ESCALATE,"@customer I am very sorry about this Hassan, our store now closes at 22:00",[],0
tesco-2841165,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry for any confusion, did you alert my colleagues in store to this? If not, can you let me know which store it is? TY",[],0
tesco-2913751,simple_rules_bm25_v1,ESCALATE,"@customer Hello <name_redacted>, I am sorry, can you please elaborate on how Delivery Saver is taking money from customers? Can you please DM your full name, address and email? I can log your feedback. TY","[""private_channel_request"", ""personal_data_request""]",2
tesco-454716,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm terribly sorry to see this! Not the level of quality we expect our customers to receive! I'd like to get this logged and fed back to the suppliers as well refund you for the item 1/3 @customer To do this could you DM me your name, address, email, the barcode and supplier code of the item, the store you purchased the item from and the price you paid? 2/3 @customer Would you prefer your refund sent via post or email? Finally do I have your permission to forward your details to our supplier? TY - Martin 3/3","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-93970,simple_rules_bm25_v1,ESCALATE,@customer Hi <name_redacted>. I will happily log your interest in this product for you. To allow me to do this can you DM me your full name and email address? Thank you. - Alisha :),"[""private_channel_request"", ""personal_data_request""]",2
tesco-2930442,simple_rules_bm25_v1,ESCALATE,"@customer Hello K, I am truly so sorry to see this! I can complete understand your anger and I sincerely hope your 5 year old is ok. 1/5 @customer I have spoken to the store and gotten them to check the rest of the stock and an assure you everything else in is date. 2/5 @customer Given how serious this is I would like to have this investigated immediately to find out how this has happened! As well as reimburse you 3/5 @customer Could you please DM me your name, address, postcode, email, a photo of the barcode and supplier code. 4/5 @customer Would you prefer the refund via an email or sent in the post? - Martin 5/5","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-446932,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry your grapes were mouldy. Can you DM us your full name, address and postcode? 1/3 @customer Can we pass on your details to our supplier? - Jay 3/3 @customer Also can we have the barcode, SC code and the price of the grapes so we can log this and refund you? 2/3","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2871186,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, really sorry that your ribs seem a little short of a rack! I'd like to log this on our system and refund you for them. 1/4 @customer Could you DM me your name, address, email address as well as a picture of the suppler, date and supplier code on the packaging? 2/4 @customer Also could you take a picture of the bottom of the bottom of your receipt for me? 3/4 @customer Lastly, would it be okay to pass your details on to our supplier in case they wish to contact you? Thanks - Peter 4/4","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2957901,simple_rules_bm25_v1,ESCALATE,"@customer Good afternoon, <name_redacted> sorry to learn that a security tag has been left on this item. Can you please DM me with your name, address and order number? Thanks. Arif","[""private_channel_request"", ""personal_data_request""]",2
tesco-502703,simple_rules_bm25_v1,ESCALATE,"@customer I'm sorry to see the sausages you purchased were not of the quality you would expect Rob. 1/3 @customer Did you bring this up with my colleagues in the store at the time? Can you advise what was said? Also can you DM some information? 2/3 @customer Your full name, address, price paid and clear copy of your receipt? TY - Jayne 3/3","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2830203,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted> thanks for getting in touch, if you follow my link it will take you to all the information you need on our Christmas slots :) <media_or_link> hope this helps",[],0
tesco-535394,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm going to look into this and get back to you as soon as I can. Thanks @customer Hi <name_redacted>, I'm very sorry you have been unable to find the quorn nuggets in store. 1/2 @customer Next time your in store if you go to the customer service desk you can ask if these can be restocked again. Kind Regards - Stacey 2/2","[""over_public_length_limit""]",1
tesco-518960,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, sorry your lunch is ruined daily. The duty manager I spoke to was unaware of the issue but is currently investigating it.",[],0
tesco-2611817,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, sorry for the misunderstanding, we are working hard to have everything converted to the new £1 over the next few weeks. Lawrence",[],0
tesco-2888931,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, very sorry that the operator walked away from you. Can you tell me the exact store this occurred in through DM? 1/2 @customer Could you also give me a description of the operator, a name and the time this occurred at? TY - Jay 2/2","[""private_channel_request""]",1
tesco-555532,simple_rules_bm25_v1,ESCALATE,"@customer Hi, our clear goal for our customers is to be competitive on petrol and diesel in the local catchment area for each store, so Tesco does not operate with one national price. This is the case with all other petrol retailers in the UK. 1/2 @customer I hope this clears things up for you and if there's ever anything else, please don't hesitate to get in touch :). - Peter 2/2","[""over_public_length_limit""]",1
tesco-2883065,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, these would be sold based on weight and not size, can you please DM your full name, address and email? I can log your feedback.","[""private_channel_request"", ""personal_data_request""]",2
tesco-2888917,simple_rules_bm25_v1,ESCALATE,@customer Hi <name_redacted>. I've responded to your DM :) Kind regards,"[""private_channel_request""]",1
tesco-2898277,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I have just DM'd you. Feel free to answer:) Thanks, Calum","[""private_channel_request""]",1
tesco-77780,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I have responded to your DM. Thanks","[""private_channel_request""]",1
tesco-1773780,simple_rules_bm25_v1,ESCALATE,"@customer Thank you for coming back Jalen, I will arrange for a colleague to chase this up with the store when they open. TY @customer Hi <name_redacted>, the pay@pump stations aren't available after midnight either, it should've been coned off not to allow entry. 1/2 @customer I'm really sorry for the inconvenience caused but I hope this helps to prevent any future inconvenience. Thanks, Leah. 2/2","[""over_public_length_limit""]",1
tesco-547281,simple_rules_bm25_v1,ESCALATE,"@customer Wow, they look really good! I hope they tasted as good as they look. :)",[],0
tesco-2784862,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I am sorry you have been encountering issues with your deliveries recently. Please advise if the shopping has arrived today? 1/2 @customer Please DM your full name, address and email address and I will look into it for you #HappyToHelp - Julie 2/2","[""private_channel_request"", ""personal_data_request""]",2
tesco-2943803,simple_rules_bm25_v1,ESCALATE,"@customer Hey <name_redacted>, oh dear! Can you screenshot the error messages you're receiving? Ty",[],0
tesco-2964726,simple_rules_bm25_v1,ESCALATE,"@customer Hey there, I see exactly what you mean, there is certainly nothing welcoming about that. 1/2 @customer Can you please let me know which store this was and the time of you visit so that I can contact the store regarding this? Thanks",[],0
tesco-2963388,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>. I have just spoken to my colleague in the store. She has told me that click and collect doesn't actually open until 10am and there is a sign outside click and collect showing this. I'm sorry for the inconvenience! Thanks, Calum",[],0
tesco-541729,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry to hear that you didn't manage to shop quickly. I will log your feedback on our internal system for review. 1/2 @customer Could you also please describe the appearance of the colleague you spoke with, your full name and address or e-mail, store location? TY - Eve 2/2","[""over_public_length_limit""]",1
tesco-2946158,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>! I'm really sorry to hear all your items are not ready for collection. Can I start with a few details and we'll look into this for you? Please DM your order number, full name and full address and we'll update you. :) TY","[""private_channel_request"", ""personal_data_request""]",2
tesco-2818165,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry that this wasn't taken off. Can you DM me your full name, address and store you returned it to? TY. - Mart <media_or_link>","[""private_channel_request"", ""personal_data_request""]",2
tesco-2938775,simple_rules_bm25_v1,ESCALATE,@customer Hi there. I just spoke to the duty manager and they confirmed the escalator is due to be fixed by Christmas so hopefully it won't be an inconvenience much longer. Sorry about that,[],0
tesco-2893982,simple_rules_bm25_v1,ESCALATE,"@customer Hi there, thank you for getting in touch, I'm sorry to see that your bananas weren't quite 'ripe and ready'. 1/4 @customer Please can you DM the full name, address and email address registered to your grocery account? 2/4 @customer Also, the weight on the packaging and your permission to pass these details to our suppliers? 3/4 @customer I will ensure this issue is logged for review by our suppliers and also refund you for your purchase. TY- Hannah. 4/4","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2975092,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, we are not currently aware of any issues, can you please delete the cache and cookies and try again. TY",[],0
tesco-95893,simple_rules_bm25_v1,ESCALATE,"@customer Hello <name_redacted>, can you try clearing cache and cookies on your browser? If that doesn't work try a different browser instead. Let me know how you get on! TY",[],0
tesco-2933230,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry to hear this. There's nothing worse than finding rogue seeds in your orange. I would like to log this feedback internally to be reviewed by relevant departments. 1/2 @customer Could you DM me your name, address as well as the product barcode? Thanks - Peter 2/2","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2941541,simple_rules_bm25_v1,ESCALATE,"@customer Can you please confirm your full name, full address and email address so I can help? Thanks - Aneurin 2/2","[""personal_data_request""]",1
tesco-1986657,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, thanks for getting in touch we are currently looking into this and will get back to you as soon as we can. Thanks @customer Hi <name_redacted>, I can let you know the store are no longer running this promotion on Ben &amp; Jerry's. 1/2 @customer They are instead running this promotion on Chicago town pizza and Häagen-DazsIce cream. Ty - Darren 2/2","[""over_public_length_limit""]",1
tesco-603618,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I am very sorry about this. Please return the bottle to your local Super/Extra/Metro Store, they can do a product report. 1/2 @customer Please let our colleagues on the customer service desk know if you would like a response from head office - Allyn 2/2","[""over_public_length_limit""]",1
tesco-564560,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, please can you send the footage? We will then be able to investigate.",[],0
tesco-83748,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, If you would like I can log your feedback about this issue. If you would like me to can you please DM me some details? 1/2 @customer Can you send your name, address, postcode, email address. Once I have these details I will get this logged. Thanks - Callum 2/2","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2846456,simple_rules_bm25_v1,ESCALATE,@customer Hi <name_redacted>. I'm sorry you have something to complain about. 1/2 @customer Could you please specify what the complaint is and I can see if I can resolve it for you. Thanks Calum,[],0
tesco-100237,simple_rules_bm25_v1,ESCALATE,"@customer Hi there, I'm sorry to learn there is money being held in your bank account 1/3 @customer I would advise contacting your card issuer about this as we don't have a way of releasing the funds 2/3 @customer Should you need any additional assistance please let me know - Aneurin 3/3","[""over_public_length_limit""]",1
tesco-2832260,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, are you able to DM us to explain this further please? TY - Paige <media_or_link>","[""private_channel_request""]",1
tesco-2943844,simple_rules_bm25_v1,ESCALATE,@customer #Exciting 🙌 Are you going with a particular colour scheme this year?,[],0
tesco-2963385,simple_rules_bm25_v1,ESCALATE,"@customer Can you please DM me a few of your details such as full name, full address and I will get this logged. Thanks - Lee 2/2 @customer Hi there, sorry to hear we haven't got any glittery Christmas wrapping paper and I'd like me to log this for future review. 1/2","[""private_channel_request"", ""personal_data_request""]",2
tesco-524365,simple_rules_bm25_v1,ESCALATE,"@customer That's great, thanks for letting us know :) We're here if anything else pops up. Charlotte",[],0
tesco-2837814,simple_rules_bm25_v1,ESCALATE,"@customer Hi, <name_redacted> be more than happy to log this suggestion on our system. Could you DM me your full name and address please? TY","[""private_channel_request"", ""personal_data_request""]",2
tesco-70745,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, thanks for getting in touch. I'm really sorry your cookies were open already and I can imagine it's frustrating 1/4 @customer Could you please DM your name, address &amp; email? May I please have how much you paid and the store you bought it from? 2/4 @customer Could I please also have the barcode, supplier code, batch code and date code? A picture will do! :) 3/4 @customer May I have your permission to pass your details to our supplier &amp; if you'd like a post or email refund? TY - Robyn 4/4","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2939802,simple_rules_bm25_v1,ESCALATE,@customer No problem Tim. That's what we're here for. Let us know if you need anything else. Thanks,[],0
tesco-2833771,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm not a vegan myself so I'm afraid I've not heard of the veganaise product that everyone's loving. 1/3 @customer Are you able to give me a bit more info about it and also let me know which store you use most? 2/3 @customer I can have a look into this further for you. :) Kind regards - Calum. 3/3","[""over_public_length_limit""]",1
tesco-2489376,simple_rules_bm25_v1,ESCALATE,"@customer Sorry Charlotte I'm afraid that you can't use a giftcard on grocery orders, sorry for any inconvenience this causes. Thanks",[],0
tesco-547270,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>. I'm so sorry you were able to purchase out of date bread from us. I can understand this is concerning. 1/2 @customer Please can you send us a DM with your full name, address and where and when you purchased the bread? 2/2","[""private_channel_request"", ""personal_data_request""]",2
tesco-583105,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, it's Halloween weekend. Apologies for any offence caused. Have a great weekend - Laura :)",[],0
tesco-2905888,simple_rules_bm25_v1,ESCALATE,"@customer Hi there, I've spoken with the store and they are aware of this situation. 1/3 @customer It is being dealt with, however, sometimes they can't oversee customers taking trolleys away. 2/3 @customer Could you please let me know whether these trolleys next Rotherhithe police station are still there? TY - Eve 3/3","[""over_public_length_limit""]",1
tesco-2822709,simple_rules_bm25_v1,ESCALATE,"@customer Hi there! Can you please DM your full name, address and email so I can check this? Can you also try re-adding your account address?","[""private_channel_request"", ""personal_data_request""]",2
tesco-2865525,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry your avocado was inedible. Can you DM me your name, full address, email and the store you purchased it from? 1/4 @customer Can you also supply the barcode, by/best before date, batch code, Supplier code, photo receipt and the price. 2/4 @customer I will feed it back to the supplier. Are you happy for me to pass your details to the also? 3/4 @customer I can send out a moneycard as a refund by post or email. Can you let me know what you prefer? TY - Jill 4/4","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-2895435,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I'm sorry to learn you've received this email but haven't cancelled the plan yourself 1/3 @customer I appreciate this must be confusing and concerning and I'd like to investigate this further 2/3 @customer In order for me to do so can you please DM your full name, full address and email address? Thank you - Aneurin 3/3","[""private_channel_request"", ""personal_data_request"", ""over_public_length_limit""]",3
tesco-577442,simple_rules_bm25_v1,ESCALATE,"@customer Hey <name_redacted>, Tesco Pay+ cannot be incorporated into Apple Wallet however you can pay + collect your points simultaneously with Tesco Pay+. Mo",[],0
tesco-510576,simple_rules_bm25_v1,ESCALATE,"@customer Hi there, please can you DM us the name or description of the colleague in question? Also, the time and date you were in store? I'd like to ensure this is fed back to management. TY","[""private_channel_request""]",1
tesco-508905,simple_rules_bm25_v1,ESCALATE,"@customer Hi there, I'm so sorry! Please can you DM your full name, address and email address so I can look in this for you? TY","[""private_channel_request"", ""personal_data_request""]",2
tesco-2848277,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, If you let me know which store you left the magazine in I could try and track it down for you :).",[],0
tesco-2219694,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, I am sorry to hear a Chicken nugget was missing! Can you DM more details to us? We'd like to let our suppliers know. 1/3 @customer We'll have your full name, full address, date and store purchased, price paid and the best before/batch number. 2/3 @customer Finally, let us know if you are okay for us to pass this back to our suppliers? Hope to hear from you soon. TY - David 3/3","[""private_channel_request"", ""over_public_length_limit""]",2
tesco-2956325,simple_rules_bm25_v1,ESCALATE,"@customer Hi <name_redacted>, what a surprise you must of had, I would like to log your comments is that okay? Can you DM me some details please? 1/2 @customer I would require your full name, full address and email. Ty, Andy 2/2","[""private_channel_request"", ""personal_data_request""]",2
tesco-2899827,simple_rules_bm25_v1,ESCALATE,"@customer @customer Hi <name_redacted>, I can check further into this for you which flavour are you referring too? Can you DM me your postcode please?","[""private_channel_request"", ""personal_data_request""]",2
